CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
520013,"Acreuna",520013,"Acreuna",0,2
521971,"Santo_Antonio_Da_Barra",520013,"Acreuna",0.53,2
520017,"Agua_Fria_De_Goias",520017,"Agua_Fria_De_Goias",0,2
520025,"Aguas_Lindas_De_Goias",520025,"Aguas_Lindas_De_Goias",0,2
520030,"Alexania",520030,"Alexania",0,2
522185,"Valparaiso_De_Goias",520030,"Alexania",1.07,2
520060,"Alto_Paraiso_De_Goias",520060,"Alto_Paraiso_De_Goias",0,2
520552,"Colinas_Do_Sul",520060,"Alto_Paraiso_De_Goias",1.13,2
522000,"Sao_Joao_Dalianca",520060,"Alto_Paraiso_De_Goias",1.11,2
520080,"Alvorada_Do_Norte",520080,"Alvorada_Do_Norte",0,2
522068,"Simolandia",520080,"Alvorada_Do_Norte",0.14,2
520110,"Anapolis",520110,"Anapolis",0,2
521973,"Santo_Antonio_De_Goias",520110,"Anapolis",0.8,2
521990,"Sao_Francisco_De_Goias",520110,"Anapolis",1.07,2
520085,"Americano_Do_Brasil",520130,"Anicuns",0.42,2
520130,"Anicuns",520130,"Anicuns",0,2
520280,"Avelinopolis",520130,"Anicuns",0.44,2
520140,"Aparecida_De_Goiania",520140,"Aparecida_De_Goiania",0,2
520880,"Goianira",520140,"Aparecida_De_Goiania",0.75,2
520170,"Aragarcas",520170,"Aragarcas",0,2
520180,"Aragoiania",520180,"Aragoiania",0,2
520215,"Araguapaz",520215,"Araguapaz",0,2
520250,"Aruana",520250,"Aruana",0,2
520320,"Barro_Alto",520320,"Barro_Alto",0,2
520330,"Bela_Vista_De_Goias",520330,"Bela_Vista_De_Goias",0,2
520310,"Baliza",520340,"Bom_Jardim_De_Goias",0.78,2
520340,"Bom_Jardim_De_Goias",520340,"Bom_Jardim_De_Goias",0,2
520350,"Bom_Jesus_De_Goias",520350,"Bom_Jesus_De_Goias",0,2
521210,"Joviania",520350,"Bom_Jesus_De_Goias",1,2
520357,"Bonopolis",520357,"Bonopolis",0,2
520380,"Britania",520380,"Britania",0,2
520390,"Buriti_Alegre",520390,"Buriti_Alegre",0,2
520400,"Cabeceiras",520400,"Cabeceiras",0,2
520410,"Cachoeira_Alta",520410,"Cachoeira_Alta",0,2
520425,"Cachoeira_Dourada",520425,"Cachoeira_Dourada",0,2
520145,"Aparecida_Do_Rio_Doce",520430,"Cacu",0.55,2
520430,"Cacu",520430,"Cacu",0,2
520440,"Caiaponia",520440,"Caiaponia",0,2
521565,"Palestina_De_Goias",520440,"Caiaponia",0.75,2
520465,"Campinacu",520465,"Campinacu",0,2
520470,"Campinorte",520470,"Campinorte",0,2
520480,"Campo_Alegre_De_Goias",520480,"Campo_Alegre_De_Goias",0,2
520490,"Campos_Belos",520490,"Campos_Belos",0,2
520510,"Catalao",520510,"Catalao",0,2
520850,"Goiandira",520510,"Catalao",0.32,2
520520,"Caturai",520520,"Caturai",0,2
520530,"Cavalcante",520530,"Cavalcante",0,2
520545,"Cezarina",520545,"Cezarina",0,2
520547,"Chapadao_Do_Ceu",520547,"Chapadao_Do_Ceu",0,2
520580,"Corumba_De_Goias",520580,"Corumba_De_Goias",0,2
520590,"Corumbaiba",520590,"Corumbaiba",0,2
521290,"Marzagao",520590,"Corumbaiba",0.4,2
520620,"Cristalina",520620,"Cristalina",0,2
