NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
2,520013,"Acreuna",29087,48.57529,34.9044,73.00837,0,77.66229,0.1919742,0.145435,0.0901697,0.0087261
2,520017,"Agua_Fria_De_Goias",6122,10.22374,7.3464,15.36622,0,16.34574,0.0404052,0.03061,0.0189782,0.0018366
2,520025,"Aguas_Lindas_De_Goias",223335,372.96945,268.002,560.57085,0,596.30445,1.474011,1.116675,0.6923385,0.0670005
2,520030,"Alexania",228248,381.17416,273.8976,572.90248,0,609.42216,1.5064368,1.14124,0.7075688,0.0684744
2,520060,"Alto_Paraiso_De_Goias",26262,43.85754,31.5144,65.91762,0,70.11954,0.1733292,0.13131,0.0814122,0.0078786
2,520080,"Alvorada_Do_Norte",20221,33.76907,24.2652,50.75471,0,53.99007,0.1334586,0.101105,0.0626851,0.0060663
2,520110,"Anapolis",444750,742.7325,533.7,1116.3225,0,1187.4825,2.93535,2.22375,1.378725,0.133425
2,520130,"Anicuns",35286,58.92762,42.3432,88.56786,0,94.21362,0.2328876,0.17643,0.1093866,0.0105858
2,520140,"Aparecida_De_Goiania",657070,1097.3069,788.484,1649.2457,0,1754.3769,4.336662,3.28535,2.036917,0.197121
2,520170,"Aragarcas",21527,35.95009,25.8324,54.03277,0,57.47709,0.1420782,0.107635,0.0667337,0.0064581
2,520180,"Aragoiania",10911,18.22137,13.0932,27.38661,0,29.13237,0.0720126,0.054555,0.0338241,0.0032733
2,520215,"Araguapaz",8365,13.96955,10.038,20.99615,0,22.33455,0.055209,0.041825,0.0259315,0.0025095
2,520250,"Aruana",10392,17.35464,12.4704,26.08392,0,27.74664,0.0685872,0.05196,0.0322152,0.0031176
2,520320,"Barro_Alto",11780,19.6726,14.136,29.5678,0,31.4526,0.077748,0.0589,0.036518,0.003534
2,520330,"Bela_Vista_De_Goias",31761,53.04087,38.1132,79.72011,0,84.80187,0.2096226,0.158805,0.0984591,0.0095283
2,520340,"Bom_Jardim_De_Goias",14889,24.86463,17.8668,37.37139,0,39.75363,0.0982674,0.074445,0.0461559,0.0044667
2,520350,"Bom_Jesus_De_Goias",34673,57.90391,41.6076,87.02923,0,92.57691,0.2288418,0.173365,0.1074863,0.0104019
2,520357,"Bonopolis",4655,7.77385,5.586,11.68405,0,12.42885,0.030723,0.023275,0.0144305,0.0013965
2,520380,"Britania",6214,10.37738,7.4568,15.59714,0,16.59138,0.0410124,0.03107,0.0192634,0.0018642
2,520390,"Buriti_Alegre",10174,16.99058,12.2088,25.53674,0,27.16458,0.0671484,0.05087,0.0315394,0.0030522
2,520400,"Cabeceiras",8563,14.30021,10.2756,21.49313,0,22.86321,0.0565158,0.042815,0.0265453,0.0025689
2,520410,"Cachoeira_Alta",13263,22.14921,15.9156,33.29013,0,35.41221,0.0875358,0.066315,0.0411153,0.0039789
2,520425,"Cachoeira_Dourada",8738,14.59246,10.4856,21.93238,0,23.33046,0.0576708,0.04369,0.0270878,0.0026214
2,520430,"Cacu",19648,32.81216,23.5776,49.31648,0,52.46016,0.1296768,0.09824,0.0609088,0.0058944
2,520440,"Caiaponia",23917,39.94139,28.7004,60.03167,0,63.85839,0.1578522,0.119585,0.0741427,0.0071751
2,520465,"Campinacu",3936,6.57312,4.7232,9.87936,0,10.50912,0.0259776,0.01968,0.0122016,0.0011808
2,520470,"Campinorte",13467,22.48989,16.1604,33.80217,0,35.95689,0.0888822,0.067335,0.0417477,0.0040401
2,520480,"Campo_Alegre_De_Goias",8021,13.39507,9.6252,20.13271,0,21.41607,0.0529386,0.040105,0.0248651,0.0024063
2,520490,"Campos_Belos",21316,35.59772,25.5792,53.50316,0,56.91372,0.1406856,0.10658,0.0660796,0.0063948
2,520510,"Catalao",127700,213.259,153.24,320.527,0,340.959,0.84282,0.6385,0.39587,0.03831
2,520520,"Caturai",13220,22.0774,15.864,33.1822,0,35.2974,0.087252,0.0661,0.040982,0.003966
2,520530,"Cavalcante",14138,23.61046,16.9656,35.48638,0,37.74846,0.0933108,0.07069,0.0438278,0.0042414
2,520545,"Cezarina",75798,126.58266,90.9576,190.25298,0,202.38066,0.5002668,0.37899,0.2349738,0.0227394
2,520547,"Chapadao_Do_Ceu",10615,17.72705,12.738,26.64365,0,28.34205,0.070059,0.053075,0.0329065,0.0031845
2,520580,"Corumba_De_Goias",60151,100.45217,72.1812,150.97901,0,160.60317,0.3969966,0.300755,0.1864681,0.0180453
2,520590,"Corumbaiba",14743,24.62081,17.6916,37.00493,0,39.36381,0.0973038,0.073715,0.0457033,0.0044229
2,520620,"Cristalina",62296,104.03432,74.7552,156.36296,0,166.33032,0.4111536,0.31148,0.1931176,0.0186888
2,520640,"Crixas",21269,35.51923,25.5228,53.38519,0,56.78823,0.1403754,0.106345,0.0659339,0.0063807
2,520725,"Doverlandia",7979,13.32493,9.5748,20.02729,0,21.30393,0.0526614,0.039895,0.0247349,0.0023937
2,520735,"Edealina",4001,6.68167,4.8012,10.04251,0,10.68267,0.0264066,0.020005,0.0124031,0.0012003
2,520740,"Edeia",26658,44.51886,31.9896,66.91158,0,71.17686,0.1759428,0.13329,0.0826398,0.0079974
2,520753,"Faina",7203,12.02901,8.6436,18.07953,0,19.23201,0.0475398,0.036015,0.0223293,0.0021609
2,520760,"Fazenda_Nova",11913,19.89471,14.2956,29.90163,0,31.80771,0.0786258,0.059565,0.0369303,0.0035739
2,520780,"Firminopolis",53695,89.67065,64.434,134.77445,0,143.36565,0.354387,0.268475,0.1664545,0.0161085
2,520790,"Flores_De_Goias",17365,28.99955,20.838,43.58615,0,46.36455,0.114609,0.086825,0.0538315,0.0052095
2,520800,"Formosa",128893,215.25131,154.6716,323.52143,0,344.14431,0.8506938,0.644465,0.3995683,0.0386679
2,520810,"Formoso",20483,34.20661,24.5796,51.41233,0,54.68961,0.1351878,0.102415,0.0634973,0.0061449
2,520840,"Goianapolis",22355,37.33285,26.826,56.11105,0,59.68785,0.147543,0.111775,0.0693005,0.0067065
2,520860,"Goianesia",84300,140.781,101.16,211.593,0,225.081,0.55638,0.4215,0.26133,0.02529
2,520870,"Goiania",1800367,3006.61289,2160.4404,4518.92117,0,4806.97989,11.8824222,9.001835,5.5811377,0.5401101
2,520890,"Goias",24716,41.27572,29.6592,62.03716,0,65.99172,0.1631256,0.12358,0.0766196,0.0074148
2,520910,"Goiatuba",41651,69.55717,49.9812,104.54401,0,111.20817,0.2748966,0.208255,0.1291181,0.0124953
2,520970,"Hidrolandia",22949,38.32483,27.5388,57.60199,0,61.27383,0.1514634,0.114745,0.0711419,0.0068847
2,520990,"Iaciara",18445,30.80315,22.134,46.29695,0,49.24815,0.121737,0.092225,0.0571795,0.0055335
2,520993,"Inaciolandia",12897,21.53799,15.4764,32.37147,0,34.43499,0.0851202,0.064485,0.0399807,0.0038691
2,521010,"Ipameri",28896,48.25632,34.6752,72.52896,0,77.15232,0.1907136,0.14448,0.0895776,0.0086688
2,521020,"Ipora",46322.0000000009,77.3577400000016,55.5864000000011,116.268220000002,0,123.679740000002,0.3057252,0.23161,0.1435982,0.0138966
2,521060,"Itaguaru",14533,24.27011,17.4396,36.47783,0,38.80311,0.0959178,0.072665,0.0450523,0.0043599
2,521080,"Itaja",11134,18.59378,13.3608,27.94634,0,29.72778,0.0734844,0.05567,0.0345154,0.0033402
2,521090,"Itapaci",28796,48.08932,34.5552,72.27796,0,76.88532,0.1900536,0.14398,0.0892676,0.0086388
2,521100,"Itapirapua",10443,17.43981,12.5316,26.21193,0,27.88281,0.0689238,0.052215,0.0323733,0.0031329
2,521120,"Itapuranga",51493,85.99331,61.7916,129.24743,0,137.48631,0.3398538,0.257465,0.1596283,0.0154479
2,521130,"Itaruma",7654,12.78218,9.1848,19.21154,0,20.43618,0.0505164,0.03827,0.0237274,0.0022962
2,521150,"Itumbiara",111794,186.69598,134.1528,280.60294,0,298.48998,0.7378404,0.55897,0.3465614,0.0335382
2,521180,"Jaragua",67254,112.31418,80.7048,168.80754,0,179.56818,0.4438764,0.33627,0.2084874,0.0201762
2,521190,"Jatai",107503,179.53001,129.0036,269.83253,0,287.03301,0.7095198,0.537515,0.3332593,0.0322509
2,521220,"Jussara",23266,38.85422,27.9192,58.39766,0,62.12022,0.1535556,0.11633,0.0721246,0.0069798
2,521270,"Mambai",16148,26.96716,19.3776,40.53148,0,43.11516,0.1065768,0.08074,0.0500588,0.0048444
2,521280,"Mara_Rosa",14479,24.17993,17.3748,36.34229,0,38.65893,0.0955614,0.072395,0.0448849,0.0043437
2,521300,"Maurilandia",24254,40.50418,29.1048,60.87754,0,64.75818,0.1600764,0.12127,0.0751874,0.0072762
2,521308,"Minacu",31659,52.87053,37.9908,79.46409,0,84.52953,0.2089494,0.158295,0.0981429,0.0094977
2,521310,"Mineiros",73920,123.4464,88.704,185.5392,0,197.3664,0.487872,0.3696,0.229152,0.022176
2,521350,"Monte_Alegre_De_Goias",9197,15.35899,11.0364,23.08447,0,24.55599,0.0607002,0.045985,0.0285107,0.0027591
2,521370,"Montes_Claros_De_Goias",8696,14.52232,10.4352,21.82696,0,23.21832,0.0573936,0.04348,0.0269576,0.0026088
2,521375,"Montividiu",14145,23.62215,16.974,35.50395,0,37.76715,0.093357,0.070725,0.0438495,0.0042435
2,521380,"Morrinhos",49307,82.34269,59.1684,123.76057,0,131.64969,0.3254262,0.246535,0.1528517,0.0147921
2,521400,"Mozarlandia",16657,27.81719,19.9884,41.80907,0,44.47419,0.1099362,0.083285,0.0516367,0.0049971
2,521405,"Mundo_Novo",5464,9.12488,6.5568,13.71464,0,14.58888,0.0360624,0.02732,0.0169384,0.0016392
2,521410,"Mutunopolis",4091,6.83197,4.9092,10.26841,0,10.92297,0.0270006,0.020455,0.0126821,0.0012273
2,521440,"Nazario",9731,16.25077,11.6772,24.42481,0,25.98177,0.0642246,0.048655,0.0301661,0.0029193
2,521460,"Niquelandia",49655,82.92385,59.586,124.63405,0,132.57885,0.327723,0.248275,0.1539305,0.0148965
2,521483,"Nova_Crixas",13796,23.03932,16.5552,34.62796,0,36.83532,0.0910536,0.06898,0.0427676,0.0041388
2,521525,"Novo_Planalto",4794,8.00598,5.7528,12.03294,0,12.79998,0.0316404,0.02397,0.0148614,0.0014382
2,521530,"Orizona",16720,27.9224,20.064,41.9672,0,44.6424,0.110352,0.0836,0.051832,0.005016
2,521550,"Ouvidor",12381,20.67627,14.8572,31.07631,0,33.05727,0.0817146,0.061905,0.0383811,0.0037143
2,521560,"Padre_Bernardo",38655.0000000009,64.5538500000016,46.3860000000011,97.0240500000023,0,103.208850000002,0.255123,0.193275,0.1198305,0.0115965
2,521590,"Palminopolis",10421,17.40307,12.5052,26.15671,0,27.82407,0.0687786,0.052105,0.0323051,0.0031263
2,521630,"Paranaiguara",10755,17.96085,12.906,26.99505,0,28.71585,0.070983,0.053775,0.0333405,0.0032265
2,521640,"Parauna",13387,22.35629,16.0644,33.60137,0,35.74329,0.0883542,0.066935,0.0414997,0.0040161
2,521710,"Piracanjuba",26423,44.12641,31.7076,66.32173,0,70.54941,0.1743918,0.132115,0.0819113,0.0079269
2,521720,"Piranhas",14226,23.75742,17.0712,35.70726,0,37.98342,0.0938916,0.07113,0.0441006,0.0042678
2,521740,"Pires_Do_Rio",42684,71.28228,51.2208,107.13684,0,113.96628,0.2817144,0.21342,0.1323204,0.0128052
2,521760,"Planaltina",96186,160.63062,115.4232,241.42686,0,256.81662,0.6348276,0.48093,0.2981766,0.0288558
2,521770,"Pontalina",29005,48.43835,34.806,72.80255,0,77.44335,0.191433,0.145025,0.0899155,0.0087015
2,521800,"Porangatu",48698,81.32566,58.4376,122.23198,0,130.02366,0.3214068,0.24349,0.1509638,0.0146094
2,521810,"Portelandia",13560,22.6452,16.272,34.0356,0,36.2052,0.089496,0.0678,0.042036,0.004068
2,521830,"Posse",43481,72.61327,52.1772,109.13731,0,116.09427,0.2869746,0.217405,0.1347911,0.0130443
2,521850,"Quirinopolis",53298,89.00766,63.9576,133.77798,0,142.30566,0.3517668,0.26649,0.1652238,0.0159894
2,521878,"Rio_Quente",100799,168.33433,120.9588,253.00549,0,269.13333,0.6652734,0.503995,0.3124769,0.0302397
2,521880,"Rio_Verde",247690,413.6423,297.228,621.7019,0,661.3323,1.634754,1.23845,0.767839,0.074307
2,521890,"Rubiataba",29216,48.79072,35.0592,73.33216,0,78.00672,0.1928256,0.14608,0.0905696,0.0087648
