NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
2	520013	Acreuna	29087.00	48.58	34.90	73.01	0.00	77.66	0.19	0.15	0.09	0.01
2	520017	Agua_Fria_De_Goias	6122.00	10.22	7.35	15.37	0.00	16.35	0.04	0.03	0.02	0.00
2	520025	Aguas_Lindas_De_Goias	223335.00	372.97	268.00	560.57	0.00	596.30	1.47	1.12	0.69	0.07
2	520030	Alexania	228248.00	381.17	273.90	572.90	0.00	609.42	1.51	1.14	0.71	0.07
2	520060	Alto_Paraiso_De_Goias	26262.00	43.86	31.51	65.92	0.00	70.12	0.17	0.13	0.08	0.01
2	520080	Alvorada_Do_Norte	20221.00	33.77	24.27	50.75	0.00	53.99	0.13	0.10	0.06	0.01
2	520110	Anapolis	444750.00	742.73	533.70	1116.32	0.00	1187.48	2.94	2.22	1.38	0.13
2	520130	Anicuns	35286.00	58.93	42.34	88.57	0.00	94.21	0.23	0.18	0.11	0.01
2	520140	Aparecida_De_Goiania	657070.00	1097.31	788.48	1649.25	0.00	1754.38	4.34	3.29	2.04	0.20
2	520170	Aragarcas	21527.00	35.95	25.83	54.03	0.00	57.48	0.14	0.11	0.07	0.01
2	520180	Aragoiania	10911.00	18.22	13.09	27.39	0.00	29.13	0.07	0.05	0.03	0.00
2	520215	Araguapaz	8365.00	13.97	10.04	21.00	0.00	22.33	0.06	0.04	0.03	0.00
2	520250	Aruana	10392.00	17.35	12.47	26.08	0.00	27.75	0.07	0.05	0.03	0.00
2	520320	Barro_Alto	11780.00	19.67	14.14	29.57	0.00	31.45	0.08	0.06	0.04	0.00
2	520330	Bela_Vista_De_Goias	31761.00	53.04	38.11	79.72	0.00	84.80	0.21	0.16	0.10	0.01
2	520340	Bom_Jardim_De_Goias	14889.00	24.86	17.87	37.37	0.00	39.75	0.10	0.07	0.05	0.00
2	520350	Bom_Jesus_De_Goias	34673.00	57.90	41.61	87.03	0.00	92.58	0.23	0.17	0.11	0.01
2	520357	Bonopolis	4655.00	7.77	5.59	11.68	0.00	12.43	0.03	0.02	0.01	0.00
2	520380	Britania	6214.00	10.38	7.46	15.60	0.00	16.59	0.04	0.03	0.02	0.00
2	520390	Buriti_Alegre	10174.00	16.99	12.21	25.54	0.00	27.16	0.07	0.05	0.03	0.00
2	520400	Cabeceiras	8563.00	14.30	10.28	21.49	0.00	22.86	0.06	0.04	0.03	0.00
2	520410	Cachoeira_Alta	13263.00	22.15	15.92	33.29	0.00	35.41	0.09	0.07	0.04	0.00
2	520425	Cachoeira_Dourada	8738.00	14.59	10.49	21.93	0.00	23.33	0.06	0.04	0.03	0.00
2	520430	Cacu	19648.00	32.81	23.58	49.32	0.00	52.46	0.13	0.10	0.06	0.01
2	520440	Caiaponia	23917.00	39.94	28.70	60.03	0.00	63.86	0.16	0.12	0.07	0.01
2	520465	Campinacu	3936.00	6.57	4.72	9.88	0.00	10.51	0.03	0.02	0.01	0.00
2	520470	Campinorte	13467.00	22.49	16.16	33.80	0.00	35.96	0.09	0.07	0.04	0.00
2	520480	Campo_Alegre_De_Goias	8021.00	13.40	9.63	20.13	0.00	21.42	0.05	0.04	0.02	0.00
2	520490	Campos_Belos	21316.00	35.60	25.58	53.50	0.00	56.91	0.14	0.11	0.07	0.01
2	520510	Catalao	127700.00	213.26	153.24	320.53	0.00	340.96	0.84	0.64	0.40	0.04
2	520520	Caturai	13220.00	22.08	15.86	33.18	0.00	35.30	0.09	0.07	0.04	0.00
2	520530	Cavalcante	14138.00	23.61	16.97	35.49	0.00	37.75	0.09	0.07	0.04	0.00
2	520545	Cezarina	75798.00	126.58	90.96	190.25	0.00	202.38	0.50	0.38	0.23	0.02
2	520547	Chapadao_Do_Ceu	10615.00	17.73	12.74	26.64	0.00	28.34	0.07	0.05	0.03	0.00
2	520580	Corumba_De_Goias	60151.00	100.45	72.18	150.98	0.00	160.60	0.40	0.30	0.19	0.02
2	520590	Corumbaiba	14743.00	24.62	17.69	37.00	0.00	39.36	0.10	0.07	0.05	0.00
2	520620	Cristalina	62296.00	104.03	74.76	156.36	0.00	166.33	0.41	0.31	0.19	0.02
2	520640	Crixas	21269.00	35.52	25.52	53.39	0.00	56.79	0.14	0.11	0.07	0.01
2	520725	Doverlandia	7979.00	13.32	9.57	20.03	0.00	21.30	0.05	0.04	0.02	0.00
2	520735	Edealina	4001.00	6.68	4.80	10.04	0.00	10.68	0.03	0.02	0.01	0.00
