CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
210005,"Acailandia",210005,"Acailandia",0,3
210325,"Cidelandia",210005,"Acailandia",0.89,3
211085,"Sao_Francisco_Do_Brejao",210005,"Acailandia",0.68,3
210047,"Alto_Alegre_Do_Pindare",210047,"Alto_Alegre_Do_Pindare",0,3
211000,"Santa_Luzia",210047,"Alto_Alegre_Do_Pindare",0.99,3
210060,"Amarante_Do_Maranhao",210060,"Amarante_Do_Maranhao",0,3
211180,"Sitio_Novo",210060,"Amarante_Do_Maranhao",1.07,3
210070,"Anajatuba",210070,"Anajatuba",0,3
210540,"Itapecuru_Mirim",210070,"Anajatuba",0.79,3
210090,"Araioses",210090,"Araioses",0,3
210095,"Arame",210095,"Arame",0,3
210535,"Itaipava_Do_Grajau",210095,"Arame",0.94,3
210043,"Alto_Alegre_Do_Maranhao",210120,"Bacabal",0.68,3
210120,"Bacabal",210120,"Bacabal",0,3
210590,"Lago_Verde",210120,"Bacabal",0.69,3
211140,"Sao_Luis_Gonzaga_Do_Maranhao",210120,"Bacabal",0.55,3
210140,"Balsas",210140,"Balsas",0,3
210410,"Fortaleza_Dos_Nogueiras",210140,"Balsas",1.49,3
210950,"Riachao",210140,"Balsas",1.15,3
211160,"Sao_Raimundo_Das_Mangabeiras",210140,"Balsas",1.64,3
210160,"Barra_Do_Corda",210160,"Barra_Do_Corda",0,3
210170,"Barreirinhas",210170,"Barreirinhas",0,3
210805,"Paulino_Neves",210170,"Barreirinhas",0.62,3
210200,"Bom_Jardim",210200,"Bom_Jardim",0,3
211102,"Sao_Joao_Do_Caru",210200,"Bom_Jardim",1.61,3
210203,"Bom_Jesus_Das_Selvas",210203,"Bom_Jesus_Das_Selvas",0,3
210210,"Brejo",210210,"Brejo",0,3
210220,"Buriti",210220,"Buriti",0,3
210340,"Coelho_Neto",210220,"Buriti",0.71,3
210390,"Duque_Bacelar",210220,"Buriti",0.37,3
210232,"Buriticupu",210232,"Buriticupu",0,3
210030,"Aldeias_Altas",210300,"Caxias",0.59,3
210300,"Caxias",210300,"Caxias",0,3
211107,"Sao_Joao_Do_Soter",210300,"Caxias",1.08,3
210320,"Chapadinha",210320,"Chapadinha",0,3
210640,"Mata_Roma",210320,"Chapadinha",0.56,3
210230,"Buriti_Bravo",210350,"Colinas",1.07,3
210350,"Colinas",210350,"Colinas",0,3
210670,"Mirador",210350,"Colinas",0.84,3
210790,"Passagem_Franca",210350,"Colinas",1.24,3
210130,"Bacuri",210370,"Cururupu",0.82,3
210370,"Cururupu",210370,"Cururupu",0,3
210680,"Mirinzal",210370,"Cururupu",0.52,3
210280,"Carolina",210405,"Estreito",1.54,3
210405,"Estreito",210405,"Estreito",0,3
210900,"Porto_Franco",210405,"Estreito",0.5,3
210290,"Carutapera",210467,"Governador_Nunes_Freire",1.92,3
210467,"Governador_Nunes_Freire",210467,"Governador_Nunes_Freire",0,3
210632,"Maracacume",210467,"Governador_Nunes_Freire",0.23,3
210637,"Maranhaozinho",210467,"Governador_Nunes_Freire",0.22,3
211003,"Santa_Luzia_Do_Parua",210467,"Governador_Nunes_Freire",0.76,3
210480,"Grajau",210480,"Grajau",0,3
210500,"Humberto_De_Campos",210500,"Humberto_De_Campos",0,3
