NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
1,210005,"Acailandia",120535,49.41935,304.95355,150.66875,588.2108,0,0,0,0,0
1,210010,"Afonso_Cunha",6977,2.86057,17.65181,8.72125,34.04776,0,0,0,0,0
1,210015,"Agua_Doce_Do_Maranhao",13469,5.52229,34.07657,16.83625,65.72872,0,0,0,0,0
1,210020,"Alcantara",23818,9.76538,60.25954,29.7725,116.23184,0,0,0,0,0
1,210030,"Aldeias_Altas",28368,11.63088,71.77104,35.46,138.43584,0,0,0,0,0
1,210040,"Altamira_Do_Maranhao",8700,3.567,22.011,10.875,42.456,0,0,0,0,0
1,210043,"Alto_Alegre_Do_Maranhao",28947,11.86827,73.23591,36.18375,141.26136,0,0,0,0,0
1,210047,"Alto_Alegre_Do_Pindare",34399,14.10359,87.02947,42.99875,167.86712,0,0,0,0,0
1,210050,"Alto_Parnaiba",12045,4.93845,30.47385,15.05625,58.7796,0,0,0,0,0
1,210060,"Amarante_Do_Maranhao",44367,18.19047,112.24851,55.45875,216.51096,0,0,0,0,0
1,210070,"Anajatuba",28704,11.76864,72.62112,35.88,140.07552,0,0,0,0,0
1,210083,"Apicum_Acu",18403,7.54523,46.55959,23.00375,89.80664,0,0,0,0,0
1,210090,"Araioses",49724,20.38684,125.80172,62.155,242.65312,0,0,0,0,0
1,210095,"Arame",35201,14.43241,89.05853,44.00125,171.78088,0,0,0,0,0
1,210100,"Arari",32102,13.16182,81.21806,40.1275,156.65776,0,0,0,0,0
1,210120,"Bacabal",112852,46.26932,285.51556,141.065,550.71776,0,0,0,0,0
1,210130,"Bacuri",19962,8.18442,50.50386,24.9525,97.41456,0,0,0,0,0
1,210140,"Balsas",101196,41.49036,256.02588,126.495,493.83648,0,0,0,0,0
1,210150,"Barao_De_Grajau",20184,8.27544,51.06552,25.23,98.49792,0,0,0,0,0
1,210160,"Barra_Do_Corda",94690,38.8229,239.5657,118.3625,462.0872,0,0,0,0,0
1,210170,"Barreirinhas",66684,27.34044,168.71052,83.355,325.41792,0,0,0,0,0
1,210180,"Benedito_Leite",6069,2.48829,15.35457,7.58625,29.61672,0,0,0,0,0
1,210190,"Bequimao",38344,15.72104,97.01032,47.93,187.11872,0,0,0,0,0
1,210193,"Bernardo_Do_Mearim",6483,2.65803,16.40199,8.10375,31.63704,0,0,0,0,0
1,210200,"Bom_Jardim",44690,18.3229,113.0657,55.8625,218.0872,0,0,0,0,0
1,210203,"Bom_Jesus_Das_Selvas",36109,14.80469,91.35577,45.13625,176.21192,0,0,0,0,0
1,210210,"Brejo",38978,15.98098,98.61434,48.7225,190.21264,0,0,0,0,0
1,210215,"Brejo_De_Areia",10103,4.14223,25.56059,12.62875,49.30264,0,0,0,0,0
1,210220,"Buriti",30800,12.628,77.924,38.5,150.304,0,0,0,0,0
1,210230,"Buriti_Bravo",25699,10.53659,65.01847,32.12375,125.41112,0,0,0,0,0
1,210232,"Buriticupu",77357,31.71637,195.71321,96.69625,377.50216,0,0,0,0,0
1,210235,"Buritirana",16602,6.80682,42.00306,20.7525,81.01776,0,0,0,0,0
1,210240,"Cajapio",12011,4.92451,30.38783,15.01375,58.61368,0,0,0,0,0
1,210250,"Cajari",20824,8.53784,52.68472,26.03,101.62112,0,0,0,0,0
1,210255,"Campestre_Do_Maranhao",23781,9.75021,60.16593,29.72625,116.05128,0,0,0,0,0
1,210260,"Candido_Mendes",41702,17.09782,105.50606,52.1275,203.50576,0,0,0,0,0
