NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
2	210005	Acailandia	148504.00	248.00	178.20	372.75	0.00	396.51	0.98	0.74	0.46	0.04
2	210030	Aldeias_Altas	28368.00	47.37	34.04	71.20	0.00	75.74	0.19	0.14	0.09	0.01
2	210043	Alto_Alegre_Do_Maranhao	73545.00	122.82	88.25	184.60	0.00	196.37	0.49	0.37	0.23	0.02
2	210047	Alto_Alegre_Do_Pindare	40683.00	67.94	48.82	102.11	0.00	108.62	0.27	0.20	0.13	0.01
2	210060	Amarante_Do_Maranhao	44367.00	74.09	53.24	111.36	0.00	118.46	0.29	0.22	0.14	0.01
2	210070	Anajatuba	28704.00	47.94	34.44	72.05	0.00	76.64	0.19	0.14	0.09	0.01
2	210090	Araioses	63193.00	105.53	75.83	158.61	0.00	168.73	0.42	0.32	0.20	0.02
2	210095	Arame	35201.00	58.79	42.24	88.35	0.00	93.99	0.23	0.18	0.11	0.01
2	210100	Arari	67332.00	112.44	80.80	169.00	0.00	179.78	0.44	0.34	0.21	0.02
2	210120	Bacabal	112852.00	188.46	135.42	283.26	0.00	301.31	0.74	0.56	0.35	0.03
2	210130	Bacuri	49373.00	82.45	59.25	123.93	0.00	131.83	0.33	0.25	0.15	0.01
2	210140	Balsas	113241.00	189.11	135.89	284.23	0.00	302.35	0.75	0.57	0.35	0.03
2	210150	Barao_De_Grajau	20184.00	33.71	24.22	50.66	0.00	53.89	0.13	0.10	0.06	0.01
2	210160	Barra_Do_Corda	105754.00	176.61	126.90	265.44	0.00	282.36	0.70	0.53	0.33	0.03
2	210170	Barreirinhas	66684.00	111.36	80.02	167.38	0.00	178.05	0.44	0.33	0.21	0.02
2	210190	Bequimao	62162.00	103.81	74.59	156.03	0.00	165.97	0.41	0.31	0.19	0.02
2	210200	Bom_Jardim	254172.00	424.47	305.01	637.97	0.00	678.64	1.68	1.27	0.79	0.08
2	210203	Bom_Jesus_Das_Selvas	36109.00	60.30	43.33	90.63	0.00	96.41	0.24	0.18	0.11	0.01
2	210210	Brejo	38978.00	65.09	46.77	97.83	0.00	104.07	0.26	0.19	0.12	0.01
2	210220	Buriti	30800.00	51.44	36.96	77.31	0.00	82.24	0.20	0.15	0.10	0.01
2	210230	Buriti_Bravo	25699.00	42.92	30.84	64.50	0.00	68.62	0.17	0.13	0.08	0.01
2	210232	Buriticupu	77357.00	129.19	92.83	194.17	0.00	206.54	0.51	0.39	0.24	0.02
2	210250	Cajari	20824.00	34.78	24.99	52.27	0.00	55.60	0.14	0.10	0.06	0.01
2	210280	Carolina	26249.00	43.84	31.50	65.88	0.00	70.08	0.17	0.13	0.08	0.01
2	210290	Carutapera	67218.00	112.25	80.66	168.72	0.00	179.47	0.44	0.34	0.21	0.02
2	210300	Caxias	177123.00	295.80	212.55	444.58	0.00	472.92	1.17	0.89	0.55	0.05
2	210320	Chapadinha	85362.00	142.55	102.43	214.26	0.00	227.92	0.56	0.43	0.26	0.03
2	210325	Cidelandia	43621.00	72.85	52.35	109.49	0.00	116.47	0.29	0.22	0.14	0.01
2	210340	Coelho_Neto	53114.00	88.70	63.74	133.32	0.00	141.81	0.35	0.27	0.16	0.02
2	210350	Colinas	44266.00	73.92	53.12	111.11	0.00	118.19	0.29	0.22	0.14	0.01
2	210360	Coroata	70153.00	117.16	84.18	176.08	0.00	187.31	0.46	0.35	0.22	0.02
2	210370	Cururupu	35339.00	59.02	42.41	88.70	0.00	94.36	0.23	0.18	0.11	0.01
2	210390	Duque_Bacelar	19160.00	32.00	22.99	48.09	0.00	51.16	0.13	0.10	0.06	0.01
2	210400	Esperantinopolis	43889.00	73.29	52.67	110.16	0.00	117.18	0.29	0.22	0.14	0.01
2	210405	Estreito	44603.00	74.49	53.52	111.95	0.00	119.09	0.29	0.22	0.14	0.01
2	210410	Fortaleza_Dos_Nogueiras	44784.00	74.79	53.74	112.41	0.00	119.57	0.30	0.22	0.14	0.01
2	210420	Fortuna	27534.00	45.98	33.04	69.11	0.00	73.52	0.18	0.14	0.09	0.01
2	210455	Governador_Edison_Lobao	29419.00	49.13	35.30	73.84	0.00	78.55	0.19	0.15	0.09	0.01
2	210460	Governador_Eugenio_Barros	69380.00	115.86	83.26	174.14	0.00	185.24	0.46	0.35	0.22	0.02
2	210467	Governador_Nunes_Freire	27628.00	46.14	33.15	69.35	0.00	73.77	0.18	0.14	0.09	0.01
2	210480	Grajau	74286.00	124.06	89.14	186.46	0.00	198.34	0.49	0.37	0.23	0.02
2	210500	Humberto_De_Campos	30736.00	51.33	36.88	77.15	0.00	82.07	0.20	0.15	0.10	0.01
2	210510	Icatu	39189.00	65.45	47.03	98.36	0.00	104.63	0.26	0.20	0.12	0.01
2	210530	Imperatriz	278283.00	464.73	333.94	698.49	0.00	743.02	1.84	1.39	0.86	0.08
2	210535	Itaipava_Do_Grajau	34869.00	58.23	41.84	87.52	0.00	93.10	0.23	0.17	0.11	0.01
2	210540	Itapecuru_Mirim	72989.00	121.89	87.59	183.20	0.00	194.88	0.48	0.36	0.23	0.02
2	210550	Joao_Lisboa	39471.00	65.92	47.37	99.07	0.00	105.39	0.26	0.20	0.12	0.01
2	210560	Joselandia	25645.00	42.83	30.77	64.37	0.00	68.47	0.17	0.13	0.08	0.01
2	210570	Lago_Da_Pedra	100417.00	167.70	120.50	252.05	0.00	268.11	0.66	0.50	0.31	0.03
2	210590	Lago_Verde	34805.00	58.12	41.77	87.36	0.00	92.93	0.23	0.17	0.11	0.01
