NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
2	310010	Abadia_Dos_Dourados	41253.00	68.89	49.50	103.55	0.00	110.15	0.27	0.21	0.13	0.01
2	310120	Aiuruoca	65087.00	108.70	78.10	163.37	0.00	173.78	0.43	0.33	0.20	0.02
2	310150	Alem_Paraiba	47635.00	79.55	57.16	119.56	0.00	127.19	0.31	0.24	0.15	0.01
2	310160	Alfenas	96562.00	161.26	115.87	242.37	0.00	257.82	0.64	0.48	0.30	0.03
2	310170	Almenara	139179.00	232.43	167.01	349.34	0.00	371.61	0.92	0.70	0.43	0.04
2	310190	Alpinopolis	29246.00	48.84	35.10	73.41	0.00	78.09	0.19	0.15	0.09	0.01
2	310200	Alterosa	49457.00	82.59	59.35	124.14	0.00	132.05	0.33	0.25	0.15	0.01
2	310230	Alvinopolis	27764.00	46.37	33.32	69.69	0.00	74.13	0.18	0.14	0.09	0.01
2	310260	Andradas	50944.00	85.08	61.13	127.87	0.00	136.02	0.34	0.25	0.16	0.02
2	310290	Antonio_Carlos	16029.00	26.77	19.23	40.23	0.00	42.80	0.11	0.08	0.05	0.00
2	310350	Araguari	129154.00	215.69	154.98	324.18	0.00	344.84	0.85	0.65	0.40	0.04
2	310400	Araxa	118418.00	197.76	142.10	297.23	0.00	316.18	0.78	0.59	0.37	0.04
2	310430	Areado	22597.00	37.74	27.12	56.72	0.00	60.33	0.15	0.11	0.07	0.01
2	310450	Arinos	90490.00	151.12	108.59	227.13	0.00	241.61	0.60	0.45	0.28	0.03
2	310480	Augusto_De_Lima	27261.00	45.53	32.71	68.43	0.00	72.79	0.18	0.14	0.08	0.01
2	310540	Barao_De_Cocais	98174.00	163.95	117.81	246.42	0.00	262.12	0.65	0.49	0.30	0.03
2	310560	Barbacena	159277.00	265.99	191.13	399.79	0.00	425.27	1.05	0.80	0.49	0.05
2	310620	Belo_Horizonte	2698069.00	4505.78	3237.68	6772.15	0.00	7203.84	17.81	13.49	8.36	0.81
2	310630	Belo_Oriente	53665.00	89.62	64.40	134.70	0.00	143.29	0.35	0.27	0.17	0.02
2	310640	Belo_Vale	18949.00	31.64	22.74	47.56	0.00	50.59	0.13	0.09	0.06	0.01
2	310670	Betim	574104.00	958.75	688.92	1441.00	0.00	1532.86	3.79	2.87	1.78	0.17
2	310690	Bicas	64592.00	107.87	77.51	162.13	0.00	172.46	0.43	0.32	0.20	0.02
2	310730	Bocaiuva	68169.00	113.84	81.80	171.10	0.00	182.01	0.45	0.34	0.21	0.02
2	310740	Bom_Despacho	54106.00	90.36	64.93	135.81	0.00	144.46	0.36	0.27	0.17	0.02
2	310780	Bom_Jesus_Do_Galho	24502.00	40.92	29.40	61.50	0.00	65.42	0.16	0.12	0.08	0.01
2	310800	Bom_Sucesso	45860.00	76.59	55.03	115.11	0.00	122.45	0.30	0.23	0.14	0.01
2	310855	Brasilandia_De_Minas	31742.00	53.01	38.09	79.67	0.00	84.75	0.21	0.16	0.10	0.01
2	310900	Brumadinho	93613.00	156.33	112.34	234.97	0.00	249.95	0.62	0.47	0.29	0.03
2	310910	Bueno_Brandao	26286.00	43.90	31.54	65.98	0.00	70.18	0.17	0.13	0.08	0.01
2	310945	Cabeceira_Grande	7452.00	12.44	8.94	18.70	0.00	19.90	0.05	0.04	0.02	0.00
2	310950	Cabo_Verde	53566.00	89.46	64.28	134.45	0.00	143.02	0.35	0.27	0.17	0.02
2	310990	Caetanopolis	40936.00	68.36	49.12	102.75	0.00	109.30	0.27	0.20	0.13	0.01
