NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
3,310160,"Alfenas",400322,796.64078,3594.89156,1004.80822,0,728.58604,7.9664078,6.7254096,6.2450232,4.0832844
3,310350,"Araguari",136519,271.67281,1225.94062,342.66269,0,248.46458,2.7167281,2.2935192,2.1296964,1.3924938
3,310400,"Araxa",208721,415.35479,1874.31458,523.88971,0,379.87222,4.1535479,3.5065128,3.2560476,2.1289542
3,310560,"Barbacena",386590,769.3141,3471.5782,970.3409,0,703.5938,7.693141,6.494712,6.030804,3.943218
3,310620,"Belo_Horizonte",2937397,5845.42003,26377.82506,7372.86647,0,5346.06254,58.4542003,49.3482696,45.8233932,29.9614494
3,310670,"Betim",745221,1482.98979,6692.08458,1870.50471,0,1356.30222,14.8298979,12.5197128,11.6254476,7.6012542
3,311340,"Caratinga",366675,729.68325,3292.7415,920.35425,0,667.3485,7.2968325,6.16014,5.72013,3.740085
3,311530,"Cataguases",218872.999999999,435.557269999998,1965.47953999999,549.371229999998,0,398.348859999998,4.3555727,3.6770664,3.4144188,2.2325046
3,311830,"Conselheiro_Lafaiete",341197,678.98203,3063.94906,856.40447,0,620.97854,6.7898203,5.7321096,5.3226732,3.4802094
3,311860,"Contagem",903914.999999999,1798.79085,8117.15669999999,2268.82665,0,1645.1253,17.9879085,15.185772,14.101074,9.219933
3,311940,"Coronel_Fabriciano",494729,984.51071,4442.66642,1241.76979,0,900.40678,9.8451071,8.3114472,7.7177724,5.0462358
3,312090,"Curvelo",553614,1101.69186,4971.45372,1389.57114,0,1007.57748,11.0169186,9.3007152,8.6363784,5.6468628
3,312230,"Divinopolis",564332,1123.02068,5067.70136,1416.47332,0,1027.08424,11.2302068,9.4807776,8.8035792,5.7561864
3,312770,"Governador_Valadares",597870,1189.7613,5368.8726,1500.6537,0,1088.1234,11.897613,10.044216,9.326772,6.098274
3,313130,"Ipatinga",318125,633.06875,2856.7625,798.49375,0,578.9875,6.3306875,5.3445,4.96275,3.244875
3,313170,"Itabira",196084,390.20716,1760.83432,492.17084,0,356.87288,3.9020716,3.2942112,3.0589104,2.0000568
3,313240,"Itajuba",381273,758.733270000001,3423.83154,956.995230000001,0,693.91686,7.5873327,6.4053864,5.9478588,3.8889846
3,313420,"Ituiutaba",257700,512.823,2314.146,646.827,0,469.014,5.12823,4.32936,4.02012,2.62854
3,313510,"Janauba",714346,1421.54854,6414.82708,1793.00846,0,1300.10972,14.2154854,12.0010128,11.1437976,7.2863292
3,313620,"Joao_Monlevade",271197,539.68203,2435.34906,680.70447,0,493.57854,5.3968203,4.5561096,4.2306732,2.7662094
3,313670,"Juiz_De_Fora",768003.999999998,1528.32796,6896.67591999998,1927.69003999999,0,1397.76728,15.2832796,12.9024672,11.9808624,7.8336408
3,313820,"Lavras",421521,838.82679,3785.25858,1058.01771,0,767.16822,8.3882679,7.0815528,6.5757276,4.2995142
3,313940,"Manhuacu",401103,798.19497,3601.90494,1006.76853,0,730.00746,7.9819497,6.7385304,6.2572068,4.0912506
3,314330,"Montes_Claros",926603.999999999,1843.94196,8320.90391999999,2325.77604,0,1686.41928,18.4394196,15.5669472,14.4550224,9.4513608
3,314390,"Muriae",338858.000000001,674.327420000002,3042.94484000001,850.533580000002,0,616.721560000002,6.7432742,5.6928144,5.2861848,3.4563516
3,314480,"Nova_Lima",167240,332.8076,1501.8152,419.7724,0,304.3768,3.328076,2.809632,2.608944,1.705848
3,314520,"Nova_Serrana",516173,1027.18427,4635.23354,1295.59423,0,939.43486,10.2718427,8.6717064,8.0522988,5.2649646
3,314610,"Ouro_Preto",144672,287.89728,1299.15456,363.12672,0,263.30304,2.8789728,2.4304896,2.2568832,1.4756544
3,314700,"Paracatu",190916,379.92284,1714.42568,479.19916,0,347.46712,3.7992284,3.2073888,2.9782896,1.9473432
3,314710,"Para_De_Minas",186526,371.18674,1675.00348,468.18026,0,339.47732,3.7118674,3.1336368,2.9098056,1.9025652
3,314790,"Passos",308527.000000006,613.968730000011,2770.57246000005,774.402770000014,0,561.51914000001,6.1396873000001,5.1832536000001,4.8130212000001,3.1469754000001
3,314800,"Patos_De_Minas",294412,585.87988,2643.81976,738.97412,0,535.82984,5.8587988,4.9461216,4.5928272,3.0030024
3,314810,"Patrocinio",314654,626.16146,2825.59292,789.78154,0,572.67028,6.2616146,5.2861872,4.9086024,3.2094708
3,315180,"Pocos_De_Caldas",337769,672.16031,3033.16562,847.80019,0,614.73958,6.7216031,5.6745192,5.2691964,3.4452438
3,315250,"Pouso_Alegre",602327,1198.63073,5408.89646,1511.84077,0,1096.23514,11.9863073,10.1190936,9.3963012,6.1437354
3,315780,"Santa_Luzia",317405,631.63595,2850.2969,796.686549999999,0,577.6771,6.3163595,5.332404,4.951518,3.237531
3,316250,"Sao_Joao_Del_Rei",168698,335.70902,1514.90804,423.43198,0,307.03036,3.3570902,2.8341264,2.6316888,1.7207196
3,316470,"Sao_Sebastiao_Do_Paraiso",294777,586.606230000001,2647.09746,739.890270000001,0,536.494140000001,5.8660623,4.9522536,4.5985212,3.0067254
3,316720,"Sete_Lagoas",497936.999999999,990.894629999998,4471.47425999999,1249.82187,0,906.245339999998,9.9089463,8.3653416,7.7678172,5.0789574
3,316860,"Teofilo_Otoni",1096867,2182.76533,9849.86566000001,2753.13617,0,1996.29794,21.8276533,18.4273656,17.1111252,11.1880434
3,316930,"Tres_Coracoes",276336.000000002,549.908640000005,2481.49728000002,693.603360000006,0,502.931520000005,5.4990864,4.6424448,4.3108416,2.8186272
3,316990,"Uba",299396.000000001,595.798040000002,2688.57608000001,751.483960000002,0,544.900720000002,5.9579804,5.0298528,4.6705776,3.0538392
3,317010,"Uberaba",569298,1132.90302,5112.29604,1428.93798,0,1036.12236,11.3290302,9.5642064,8.8810488,5.8068396
3,317020,"Uberlandia",848215,1687.94785,7616.9707,2129.01965,0,1543.7513,16.8794785,14.250012,13.232154,8.651793
3,317040,"Unai",202079,402.13721,1814.66942,507.21829,0,367.78378,4.0213721,3.3949272,3.1524324,2.0612058
3,317070,"Varginha",259573.999999999,516.552259999998,2330.97451999999,651.530739999998,0,472.424679999998,5.1655226,4.3608432,4.0493544,2.6476548
3,317120,"Vespasiano",619056.999999995,1231.92342999999,5559.13185999996,1553.83306999999,0,1126.68373999999,12.3192342999999,10.4001575999999,9.6572891999999,6.3143814
3,317130,"Vicosa",329701,656.10499,2960.71498,827.54951,0,600.05582,6.5610499,5.5389768,5.1433356,3.3629502
