NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
2	500020	Agua_Clara	16455.00	27.48	19.75	41.30	0.00	43.93	0.11	0.08	0.05	0.00
2	500060	Amambai	42018.00	70.17	50.42	105.47	0.00	112.19	0.28	0.21	0.13	0.01
2	500070	Anastacio	39224.00	65.50	47.07	98.45	0.00	104.73	0.26	0.20	0.12	0.01
2	500080	Anaurilandia	9699.00	16.20	11.64	24.34	0.00	25.90	0.06	0.05	0.03	0.00
2	500085	Angelica	11454.00	19.13	13.74	28.75	0.00	30.58	0.08	0.06	0.04	0.00
2	500090	Antonio_Joao	9589.00	16.01	11.51	24.07	0.00	25.60	0.06	0.05	0.03	0.00
2	500100	Aparecida_Do_Taboado	34456.00	57.54	41.35	86.48	0.00	92.00	0.23	0.17	0.11	0.01
2	500110	Aquidauana	51537.00	86.07	61.84	129.36	0.00	137.60	0.34	0.26	0.16	0.02
2	500124	Aral_Moreira	12903.00	21.55	15.48	32.39	0.00	34.45	0.09	0.06	0.04	0.00
2	500190	Bataguassu	32915.00	54.97	39.50	82.62	0.00	87.88	0.22	0.16	0.10	0.01
2	500210	Bela_Vista	32957.00	55.04	39.55	82.72	0.00	88.00	0.22	0.16	0.10	0.01
2	500215	Bodoquena	8431.00	14.08	10.12	21.16	0.00	22.51	0.06	0.04	0.03	0.00
2	500220	Bonito	23445.00	39.15	28.13	58.85	0.00	62.60	0.15	0.12	0.07	0.01
2	500230	Brasilandia	12825.00	21.42	15.39	32.19	0.00	34.24	0.08	0.06	0.04	0.00
2	500240	Caarapo	47076.00	78.62	56.49	118.16	0.00	125.69	0.31	0.24	0.15	0.01
2	500260	Camapua	33119.00	55.31	39.74	83.13	0.00	88.43	0.22	0.17	0.10	0.01
2	500270	Campo_Grande	955282.00	1595.32	1146.34	2397.76	0.00	2550.60	6.30	4.78	2.96	0.29
2	500290	Cassilandia	23594.00	39.40	28.31	59.22	0.00	63.00	0.16	0.12	0.07	0.01
2	500295	Chapadao_Do_Sul	32371.00	54.06	38.85	81.25	0.00	86.43	0.21	0.16	0.10	0.01
2	500315	Coronel_Sapucaia	16342.00	27.29	19.61	41.02	0.00	43.63	0.11	0.08	0.05	0.00
2	500325	Costa_Rica	27788.00	46.41	33.35	69.75	0.00	74.19	0.18	0.14	0.09	0.01
2	500330	Coxim	44417.00	74.18	53.30	111.49	0.00	118.59	0.29	0.22	0.14	0.01
2	500370	Dourados	259066.00	432.64	310.88	650.26	0.00	691.71	1.71	1.30	0.80	0.08
2	500400	Gloria_De_Dourados	35539.00	59.35	42.65	89.20	0.00	94.89	0.23	0.18	0.11	0.01
2	500410	Guia_Lopes_Da_Laguna	25942.00	43.32	31.13	65.11	0.00	69.27	0.17	0.13	0.08	0.01
2	500430	Iguatemi	17232.00	28.78	20.68	43.25	0.00	46.01	0.11	0.09	0.05	0.01
2	500450	Itapora	25762.00	43.02	30.91	64.66	0.00	68.78	0.17	0.13	0.08	0.01
2	500460	Itaquirai	22547.00	37.65	27.06	56.59	0.00	60.20	0.15	0.11	0.07	0.01
2	500470	Ivinhema	29215.00	48.79	35.06	73.33	0.00	78.00	0.19	0.15	0.09	0.01
2	500500	Jardim	28007.00	46.77	33.61	70.30	0.00	74.78	0.18	0.14	0.09	0.01
2	500520	Ladario	144282.00	240.95	173.14	362.15	0.00	385.23	0.95	0.72	0.45	0.04
2	500540	Maracaju	49540.00	82.73	59.45	124.35	0.00	132.27	0.33	0.25	0.15	0.01
2	500560	Miranda	29978.00	50.06	35.97	75.24	0.00	80.04	0.20	0.15	0.09	0.01
2	500568	Mundo_Novo	42643.00	71.21	51.17	107.03	0.00	113.86	0.28	0.21	0.13	0.01
2	500570	Navirai	58297.00	97.36	69.96	146.33	0.00	155.65	0.38	0.29	0.18	0.02
2	500600	Nova_Alvorada_Do_Sul	22973.00	38.36	27.57	57.66	0.00	61.34	0.15	0.11	0.07	0.01
2	500620	Nova_Andradina	73778.00	123.21	88.53	185.18	0.00	196.99	0.49	0.37	0.23	0.02
2	500630	Paranaiba	53534.00	89.40	64.24	134.37	0.00	142.94	0.35	0.27	0.17	0.02
2	500660	Ponta_Pora	98236.00	164.05	117.88	246.57	0.00	262.29	0.65	0.49	0.30	0.03
2	500690	Porto_Murtinho	18419.00	30.76	22.10	46.23	0.00	49.18	0.12	0.09	0.06	0.01
2	500710	Ribas_Do_Rio_Pardo	26163.00	43.69	31.40	65.67	0.00	69.86	0.17	0.13	0.08	0.01
2	500720	Rio_Brilhante	46075.00	76.95	55.29	115.65	0.00	123.02	0.30	0.23	0.14	0.01
2	500740	Rio_Verde_De_Mato_Grosso	21228.00	35.45	25.47	53.28	0.00	56.68	0.14	0.11	0.07	0.01
2	500769	Sao_Gabriel_Do_Oeste	33632.00	56.17	40.36	84.42	0.00	89.80	0.22	0.17	0.10	0.01
2	500790	Sidrolandia	60486.00	101.01	72.58	151.82	0.00	161.50	0.40	0.30	0.19	0.02
2	500793	Sonora	20307.00	33.91	24.37	50.97	0.00	54.22	0.13	0.10	0.06	0.01
2	500795	Tacuru	39137.00	65.36	46.96	98.23	0.00	104.50	0.26	0.20	0.12	0.01
2	500800	Terenos	35110.00	58.63	42.13	88.13	0.00	93.74	0.23	0.18	0.11	0.01
2	500830	Tres_Lagoas	128849.00	215.18	154.62	323.41	0.00	344.03	0.85	0.64	0.40	0.04
