NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
1,510010,"Acorizal",14873,6.09793,37.62869,18.59125,72.58024,0,0,0,0,0
1,510020,"Agua_Boa",27211,11.15651,68.84383,34.01375,132.78968,0,0,0,0,0
1,510025,"Alta_Floresta",55669,22.82429,140.84257,69.58625,271.66472,0,0,0,0,0
1,510030,"Alto_Araguaia",20172,8.27052,51.03516,25.215,98.43936,0,0,0,0,0
1,510035,"Alto_Boa_Vista",7182,2.94462,18.17046,8.9775,35.04816,0,0,0,0,0
1,510040,"Alto_Garcas",12800,5.248,32.384,16,62.464,0,0,0,0,0
1,510060,"Alto_Taquari",11386,4.66826,28.80658,14.2325,55.56368,0,0,0,0,0
1,510080,"Apiacas",10763,4.41283,27.23039,13.45375,52.52344,0,0,0,0,0
1,510100,"Araguaiana",3364,1.37924,8.51092,4.205,16.41632,0,0,0,0,0
1,510120,"Araguainha",1031,0.42271,2.60843,1.28875,5.03128,0,0,0,0,0
1,510125,"Araputanga",20940,8.5854,52.9782,26.175,102.1872,0,0,0,0,0
1,510130,"Arenapolis",13981,5.73221,35.37193,17.47625,68.22728,0,0,0,0,0
1,510140,"Aripuana",23714,9.72274,59.99642,29.6425,115.72432,0,0,0,0,0
1,510160,"Barao_De_Melgaco",9236,3.78676,23.36708,11.545,45.07168,0,0,0,0,0
1,510170,"Barra_Do_Bugres",37338,15.30858,94.46514,46.6725,182.20944,0,0,0,0,0
1,510180,"Barra_Do_Garcas",65426,26.82466,165.52778,81.7825,319.27888,0,0,0,0,0
1,510185,"Bom_Jesus_Do_Araguaia",8708,3.57028,22.03124,10.885,42.49504,0,0,0,0,0
1,510190,"Brasnorte",20760,8.5116,52.5228,25.95,101.3088,0,0,0,0,0
1,510250,"Caceres",101256,41.51496,256.17768,126.57,494.12928,0,0,0,0,0
1,510260,"Campinapolis",17073,6.99993,43.19469,21.34125,83.31624,0,0,0,0,0
1,510263,"Campo_Novo_Do_Parecis",37272,15.28152,94.29816,46.59,181.88736,0,0,0,0,0
1,510267,"Campo_Verde",46238,18.95758,116.98214,57.7975,225.64144,0,0,0,0,0
1,510268,"Campos_De_Julio",7237,2.96717,18.30961,9.04625,35.31656,0,0,0,0,0
1,510269,"Canabrava_Do_Norte",5135,2.10535,12.99155,6.41875,25.0588,0,0,0,0,0
1,510270,"Canarana",22985,9.42385,58.15205,28.73125,112.1668,0,0,0,0,0
1,510279,"Carlinda",11231,4.60471,28.41443,14.03875,54.80728,0,0,0,0,0
1,510285,"Castanheira",9378,3.84498,23.72634,11.7225,45.76464,0,0,0,0,0
1,510300,"Chapada_Dos_Guimaraes",21127,8.66207,53.45131,26.40875,103.09976,0,0,0,0,0
1,510305,"Claudia",12999,5.32959,32.88747,16.24875,63.43512,0,0,0,0,0
1,510310,"Cocalinho",6138,2.51658,15.52914,7.6725,29.95344,0,0,0,0,0
1,510320,"Colider",35834,14.69194,90.66002,44.7925,174.86992,0,0,0,0,0
1,510325,"Colniza",40208,16.48528,101.72624,50.26,196.21504,0,0,0,0,0
1,510330,"Comodoro",22124,9.07084,55.97372,27.655,107.96512,0,0,0,0,0
1,510335,"Confresa",32731,13.41971,82.80943,40.91375,159.72728,0,0,0,0,0
1,510337,"Cotriguacu",20766,8.51406,52.53798,25.9575,101.33808,0,0,0,0,0
1,510340,"Cuiaba",654844,268.48604,1656.75532,818.555,3195.63872,0,0,0,0,0
1,510343,"Curvelandia",5600,2.296,14.168,7,27.328,0,0,0,0,0
1,510345,"Denise",10114,4.14674,25.58842,12.6425,49.35632,0,0,0,0,0
1,510350,"Diamantino",35746,14.65586,90.43738,44.6825,174.44048,0,0,0,0,0
1,510360,"Dom_Aquino",8843,3.62563,22.37279,11.05375,43.15384,0,0,0,0,0
1,510370,"Feliz_Natal",14945,6.12745,37.81085,18.68125,72.9316,0,0,0,0,0
1,510385,"Gaucha_Do_Norte",8103,3.32223,20.50059,10.12875,39.54264,0,0,0,0,0
1,510390,"General_Carneiro",5918,2.42638,14.97254,7.3975,28.87984,0,0,0,0,0
1,510410,"Guaranta_Do_Norte",38285,15.69685,96.86105,47.85625,186.8308,0,0,0,0,0
1,510420,"Guiratinga",16216,6.64856,41.02648,20.27,79.13408,0,0,0,0,0
1,510452,"Ipiranga_Do_Norte",7976,3.27016,20.17928,9.97,38.92288,0,0,0,0,0
1,510454,"Itanhanga",7104,2.91264,17.97312,8.88,34.66752,0,0,0,0,0
1,510455,"Itauba",4207,1.72487,10.64371,5.25875,20.53016,0,0,0,0,0
1,510460,"Itiquira",14197,5.82077,35.91841,17.74625,69.28136,0,0,0,0,0
1,510500,"Jauru",16902,6.92982,42.76206,21.1275,82.48176,0,0,0,0,0
1,510510,"Juara",37550,15.3955,95.0015,46.9375,183.244,0,0,0,0,0
1,510515,"Juina",44118,18.08838,111.61854,55.1475,215.29584,0,0,0,0,0
1,510517,"Juruena",16577,6.79657,41.93981,20.72125,80.89576,0,0,0,0,0
1,510520,"Juscimeira",47000,19.27,118.91,58.75,229.36,0,0,0,0,0
1,510525,"Lucas_Do_Rio_Verde",68392,28.04072,173.03176,85.49,333.75296,0,0,0,0,0
1,510530,"Luciara",2264,0.92824,5.72792,2.83,11.04832,0,0,0,0,0
1,510550,"Vila_Bela_Da_Santissima_Trindade",17238,7.06758,43.61214,21.5475,84.12144,0,0,0,0,0
1,510558,"Marcelandia",11540,4.7314,29.1962,14.425,56.3152,0,0,0,0,0
1,510560,"Matupa",17617,7.22297,44.57101,22.02125,85.97096,0,0,0,0,0
