NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
2,250020,"Aguiar",12681.0000000002,21.1772700000004,15.2172000000003,31.8293100000006,0,33.8582700000006,0.0836946,0.063405,0.0393111,0.0038043
2,250070,"Sao_Joao_Do_Rio_Do_Peixe",35931,60.00477,43.1172,90.18681,0,95.93577,0.2371446,0.179655,0.1113861,0.0107793
2,250110,"Areia",97030,162.0401,116.436,243.5453,0,259.0701,0.640398,0.48515,0.300793,0.029109
2,250130,"Aroeiras",29809,49.78103,35.7708,74.82059,0,79.59003,0.1967394,0.149045,0.0924079,0.0089427
2,250160,"Barra_De_Santa_Rosa",16467,27.49989,19.7604,41.33217,0,43.96689,0.1086822,0.082335,0.0510477,0.0049401
2,250180,"Bayeux",295572,493.60524,354.6864,741.88572,0,789.17724,1.9507752,1.47786,0.9162732,0.0886716
2,250200,"Belem_Do_Brejo_Do_Cruz",7911,13.21137,9.4932,19.85661,0,21.12237,0.0522126,0.039555,0.0245241,0.0023733
2,250240,"Bonito_De_Santa_Fe",17889,29.87463,21.4668,44.90139,0,47.76363,0.1180674,0.089445,0.0554559,0.0053667
2,250250,"Boqueirao",27864,46.53288,33.4368,69.93864,0,74.39688,0.1839024,0.13932,0.0863784,0.0083592
2,250280,"Brejo_Do_Cruz",107786,180.00262,129.3432,270.54286,0,287.78862,0.7113876,0.53893,0.3341366,0.0323358
2,250300,"Caapora",64705,108.05735,77.646,162.40955,0,172.76235,0.427053,0.323525,0.2005855,0.0194115
2,250320,"Cabedelo",85879,143.41793,103.0548,215.55629,0,229.29693,0.5668014,0.429395,0.2662249,0.0257637
2,250350,"Cacimba_De_Dentro",125589,209.73363,150.7068,315.22839,0,335.32263,0.8288874,0.627945,0.3893259,0.0376767
2,250370,"Cajazeiras",87438,146.02146,104.9256,219.46938,0,233.45946,0.5770908,0.43719,0.2710578,0.0262314
2,250400,"Campina_Grande",620726,1036.61242,744.8712,1558.02226,0,1657.33842,4.0967916,3.10363,1.9242506,0.1862178
2,250440,"Conceicao",36299,60.61933,43.5588,91.11049,0,96.91833,0.2395734,0.181495,0.1125269,0.0108897
2,250480,"Coremas",24917,41.61139,29.9004,62.54167,0,66.52839,0.1644522,0.124585,0.0772427,0.0074751
2,250500,"Cubati",20541,34.30347,24.6492,51.55791,0,54.84447,0.1355706,0.102705,0.0636771,0.0061623
2,250510,"Cuite",33429,55.82643,40.1148,83.90679,0,89.25543,0.2206314,0.167145,0.1036299,0.0100287
2,250600,"Esperanca",81646,136.34882,97.9752,204.93146,0,217.99482,0.5388636,0.40823,0.2531026,0.0244938
2,250630,"Guarabira",165452,276.30484,198.5424,415.28452,0,441.75684,1.0919832,0.82726,0.5129012,0.0496356
2,250700,"Itaporanga",62872,104.99624,75.4464,157.80872,0,167.86824,0.4149552,0.31436,0.1949032,0.0188616
2,250710,"Itapororoca",76857,128.35119,92.2284,192.91107,0,205.20819,0.5072562,0.384285,0.2382567,0.0230571
2,250740,"Jerico",16502,27.55834,19.8024,41.42002,0,44.06034,0.1089132,0.08251,0.0511562,0.0049506
2,250750,"Joao_Pessoa",863187,1441.52229,1035.8244,2166.59937,0,2304.70929,5.6970342,4.315935,2.6758797,0.2589561
2,250770,"Juazeirinho",65232,108.93744,78.2784,163.73232,0,174.16944,0.4305312,0.32616,0.2022192,0.0195696
2,250800,"Juru",41355,69.06285,49.626,103.80105,0,110.41785,0.272943,0.206775,0.1282005,0.0124065
2,250820,"Lagoa_De_Dentro",30259,50.53253,36.3108,75.95009,0,80.79153,0.1997094,0.151295,0.0938029,0.0090777
2,250890,"Mamanguape",75906,126.76302,91.0872,190.52406,0,202.66902,0.5009796,0.37953,0.2353086,0.0227718
2,250910,"Mari",43162,72.08054,51.7944,108.33662,0,115.24254,0.2848692,0.21581,0.1338022,0.0129486
2,250920,"Massaranduba",53587,89.49029,64.3044,134.50337,0,143.07729,0.3536742,0.267935,0.1661197,0.0160761
2,250970,"Monteiro",50982,85.13994,61.1784,127.96482,0,136.12194,0.3364812,0.25491,0.1580442,0.0152946
2,250990,"Natuba",11279,18.83593,13.5348,28.31029,0,30.11493,0.0744414,0.056395,0.0349649,0.0033837
2,251080,"Patos",139721,233.33407,167.6652,350.69971,0,373.05507,0.9221586,0.698605,0.4331351,0.0419163
2,251090,"Paulista",17292,28.87764,20.7504,43.40292,0,46.16964,0.1141272,0.08646,0.0536052,0.0051876
2,251130,"Pianco",41137,68.69879,49.3644,103.25387,0,109.83579,0.2715042,0.205685,0.1275247,0.0123411
2,251140,"Picui",33830,56.4961,40.596,84.9133,0,90.3261,0.223278,0.16915,0.104873,0.010149
2,251150,"Pilar",130505,217.94335,156.606,327.56755,0,348.44835,0.861333,0.652525,0.4045655,0.0391515
2,251210,"Pombal",54097,90.34199,64.9164,135.78347,0,144.43899,0.3570402,0.270485,0.1677007,0.0162291
2,251315,"Santa_Cecilia",21502,35.90834,25.8024,53.97002,0,57.41034,0.1419132,0.10751,0.0666562,0.0064506
2,251320,"Santa_Cruz",13703,22.88401,16.4436,34.39453,0,36.58701,0.0904398,0.068515,0.0424793,0.0041109
2,251450,"Sao_Jose_De_Piranhas",24466,40.85822,29.3592,61.40966,0,65.32422,0.1614756,0.12233,0.0758446,0.0073398
2,251490,"Sao_Mamede",48706,81.33902,58.4472,122.25206,0,130.04502,0.3214596,0.24353,0.1509886,0.0146118
2,251530,"Sape",71175,118.86225,85.41,178.64925,0,190.03725,0.469755,0.355875,0.2206425,0.0213525
2,251550,"Serra_Branca",33752,56.36584,40.5024,84.71752,0,90.11784,0.2227632,0.16876,0.1046312,0.0101256
2,251620,"Sousa",97212,162.34404,116.6544,244.00212,0,259.55604,0.6415992,0.48606,0.3013572,0.0291636
2,251630,"Sume",39953,66.72151,47.9436,100.28203,0,106.67451,0.2636898,0.199765,0.1238543,0.0119859
2,251650,"Taperoa",57219,95.55573,68.6628,143.61969,0,152.77473,0.3776454,0.286095,0.1773789,0.0171657
