NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
2	250020	Aguiar	12681.00	21.18	15.22	31.83	0.00	33.86	0.08	0.06	0.04	0.00
2	250070	Sao_Joao_Do_Rio_Do_Peixe	35931.00	60.00	43.12	90.19	0.00	95.94	0.24	0.18	0.11	0.01
2	250110	Areia	97030.00	162.04	116.44	243.55	0.00	259.07	0.64	0.49	0.30	0.03
2	250130	Aroeiras	29809.00	49.78	35.77	74.82	0.00	79.59	0.20	0.15	0.09	0.01
2	250160	Barra_De_Santa_Rosa	16467.00	27.50	19.76	41.33	0.00	43.97	0.11	0.08	0.05	0.00
2	250180	Bayeux	295572.00	493.61	354.69	741.89	0.00	789.18	1.95	1.48	0.92	0.09
2	250200	Belem_Do_Brejo_Do_Cruz	7911.00	13.21	9.49	19.86	0.00	21.12	0.05	0.04	0.02	0.00
2	250240	Bonito_De_Santa_Fe	17889.00	29.87	21.47	44.90	0.00	47.76	0.12	0.09	0.06	0.01
2	250250	Boqueirao	27864.00	46.53	33.44	69.94	0.00	74.40	0.18	0.14	0.09	0.01
2	250280	Brejo_Do_Cruz	107786.00	180.00	129.34	270.54	0.00	287.79	0.71	0.54	0.33	0.03
2	250300	Caapora	64705.00	108.06	77.65	162.41	0.00	172.76	0.43	0.32	0.20	0.02
2	250320	Cabedelo	85879.00	143.42	103.05	215.56	0.00	229.30	0.57	0.43	0.27	0.03
2	250350	Cacimba_De_Dentro	125589.00	209.73	150.71	315.23	0.00	335.32	0.83	0.63	0.39	0.04
2	250370	Cajazeiras	87438.00	146.02	104.93	219.47	0.00	233.46	0.58	0.44	0.27	0.03
2	250400	Campina_Grande	620726.00	1036.61	744.87	1558.02	0.00	1657.34	4.10	3.10	1.92	0.19
2	250440	Conceicao	36299.00	60.62	43.56	91.11	0.00	96.92	0.24	0.18	0.11	0.01
2	250480	Coremas	24917.00	41.61	29.90	62.54	0.00	66.53	0.16	0.12	0.08	0.01
2	250500	Cubati	20541.00	34.30	24.65	51.56	0.00	54.84	0.14	0.10	0.06	0.01
2	250510	Cuite	33429.00	55.83	40.11	83.91	0.00	89.26	0.22	0.17	0.10	0.01
2	250600	Esperanca	81646.00	136.35	97.98	204.93	0.00	217.99	0.54	0.41	0.25	0.02
2	250630	Guarabira	165452.00	276.30	198.54	415.28	0.00	441.76	1.09	0.83	0.51	0.05
2	250700	Itaporanga	62872.00	105.00	75.45	157.81	0.00	167.87	0.41	0.31	0.19	0.02
2	250710	Itapororoca	76857.00	128.35	92.23	192.91	0.00	205.21	0.51	0.38	0.24	0.02
2	250740	Jerico	16502.00	27.56	19.80	41.42	0.00	44.06	0.11	0.08	0.05	0.00
2	250750	Joao_Pessoa	863187.00	1441.52	1035.82	2166.60	0.00	2304.71	5.70	4.32	2.68	0.26
2	250770	Juazeirinho	65232.00	108.94	78.28	163.73	0.00	174.17	0.43	0.33	0.20	0.02
2	250800	Juru	41355.00	69.06	49.63	103.80	0.00	110.42	0.27	0.21	0.13	0.01
2	250820	Lagoa_De_Dentro	30259.00	50.53	36.31	75.95	0.00	80.79	0.20	0.15	0.09	0.01
2	250890	Mamanguape	75906.00	126.76	91.09	190.52	0.00	202.67	0.50	0.38	0.24	0.02
2	250910	Mari	43162.00	72.08	51.79	108.34	0.00	115.24	0.28	0.22	0.13	0.01
2	250920	Massaranduba	53587.00	89.49	64.30	134.50	0.00	143.08	0.35	0.27	0.17	0.02
2	250970	Monteiro	50982.00	85.14	61.18	127.96	0.00	136.12	0.34	0.25	0.16	0.02
2	250990	Natuba	11279.00	18.84	13.53	28.31	0.00	30.11	0.07	0.06	0.03	0.00
2	251080	Patos	139721.00	233.33	167.67	350.70	0.00	373.06	0.92	0.70	0.43	0.04
2	251090	Paulista	17292.00	28.88	20.75	43.40	0.00	46.17	0.11	0.09	0.05	0.01
2	251130	Pianco	41137.00	68.70	49.36	103.25	0.00	109.84	0.27	0.21	0.13	0.01
2	251140	Picui	33830.00	56.50	40.60	84.91	0.00	90.33	0.22	0.17	0.10	0.01
2	251150	Pilar	130505.00	217.94	156.61	327.57	0.00	348.45	0.86	0.65	0.40	0.04
2	251210	Pombal	54097.00	90.34	64.92	135.78	0.00	144.44	0.36	0.27	0.17	0.02
2	251315	Santa_Cecilia	21502.00	35.91	25.80	53.97	0.00	57.41	0.14	0.11	0.07	0.01
2	251320	Santa_Cruz	13703.00	22.88	16.44	34.39	0.00	36.59	0.09	0.07	0.04	0.00
2	251450	Sao_Jose_De_Piranhas	24466.00	40.86	29.36	61.41	0.00	65.32	0.16	0.12	0.08	0.01
2	251490	Sao_Mamede	48706.00	81.34	58.45	122.25	0.00	130.05	0.32	0.24	0.15	0.01
2	251530	Sape	71175.00	118.86	85.41	178.65	0.00	190.04	0.47	0.36	0.22	0.02
2	251550	Serra_Branca	33752.00	56.37	40.50	84.72	0.00	90.12	0.22	0.17	0.10	0.01
2	251620	Sousa	97212.00	162.34	116.65	244.00	0.00	259.56	0.64	0.49	0.30	0.03
2	251630	Sume	39953.00	66.72	47.94	100.28	0.00	106.67	0.26	0.20	0.12	0.01
2	251650	Taperoa	57219.00	95.56	68.66	143.62	0.00	152.77	0.38	0.29	0.18	0.02
2	251660	Tavares	56978.00	95.15	68.37	143.01	0.00	152.13	0.38	0.28	0.18	0.02
2	251690	Uirauna	31744.00	53.01	38.09	79.68	0.00	84.76	0.21	0.16	0.10	0.01
2	251700	Umbuzeiro	10680.00	17.84	12.82	26.81	0.00	28.52	0.07	0.05	0.03	0.00
