CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
220030,"Alto_Longa",220040,"Altos",0.65,3
220040,"Altos",220040,"Altos",0,3
220160,"Beneditinos",220040,"Altos",0.92,3
220110,"Avelino_Lopes",220110,"Avelino_Lopes",0,3
220665,"Morro_Cabeca_No_Tempo",220110,"Avelino_Lopes",1.91,3
220115,"Baixa_Grande_Do_Ribeiro",220115,"Baixa_Grande_Do_Ribeiro",0,3
220120,"Barras",220120,"Barras",0,3
220190,"Bom_Jesus",220190,"Bom_Jesus",0,3
220220,"Campo_Maior",220220,"Campo_Maior",0,3
220527,"Jatoba_Do_Piaui",220220,"Campo_Maior",0.94,3
220230,"Canto_Do_Buriti",220230,"Canto_Do_Buriti",0,3
220360,"Eliseu_Martins",220230,"Canto_Do_Buriti",1.33,3
220250,"Caracol",220250,"Caracol",0,3
220455,"Guaribas",220250,"Caracol",1.68,3
220260,"Castelo_Do_Piaui",220260,"Castelo_Do_Piaui",0,3
220990,"Sao_Joao_Da_Serra",220260,"Castelo_Do_Piaui",1.26,3
220270,"Cocal",220270,"Cocal",0,3
220290,"Corrente",220290,"Corrente",0,3
220320,"Curimata",220320,"Curimata",0,3
220345,"Dom_Inocencio",220345,"Dom_Inocencio",0,3
220140,"Barro_Duro",220350,"Elesbao_Veloso",1.07,3
220350,"Elesbao_Veloso",220350,"Elesbao_Veloso",0,3
220370,"Esperantina",220370,"Esperantina",0,3
220390,"Floriano",220390,"Floriano",0,3
220670,"Nazare_Do_Piaui",220390,"Floriano",0.74,3
220430,"Fronteiras",220430,"Fronteiras",0,3
220820,"Pio_Ix",220430,"Fronteiras",0.6,3
221030,"Sao_Juliao",220430,"Fronteiras",0.45,3
220450,"Guadalupe",220450,"Guadalupe",0,3
220560,"Landri_Sales",220450,"Guadalupe",1.42,3
220510,"Itaueira",220510,"Itaueira",0,3
220520,"Jaicos",220520,"Jaicos",0,3
220550,"Jose_De_Freitas",220550,"Jose_De_Freitas",0,3
220570,"Luis_Correia",220570,"Luis_Correia",0,3
220580,"Luzilandia",220580,"Luzilandia",0,3
220700,"Oeiras",220700,"Oeiras",0,3
220750,"Palmeirais",220750,"Palmeirais",0,3
220200,"Buriti_Dos_Lopes",220770,"Parnaiba",0.67,3
220770,"Parnaiba",220770,"Parnaiba",0,3
220780,"Paulistana",220780,"Paulistana",0,3
220790,"Pedro_Ii",220790,"Pedro_Ii",0,3
220800,"Picos",220800,"Picos",0,3
220830,"Piracuruca",220830,"Piracuruca",0,3
220840,"Piripiri",220830,"Piracuruca",0.72,3
220850,"Porto",220850,"Porto",0,3
220100,"Arraial",220880,"Regeneracao",1.33,3
220880,"Regeneracao",220880,"Regeneracao",0,3
220890,"Ribeiro_Goncalves",220890,"Ribeiro_Goncalves",0,3
220920,"Santa_Filomena",220920,"Santa_Filomena",0,3
220211,"Campo_Alegre_Do_Fidalgo",221000,"Sao_Joao_Do_Piaui",0.89,3
221000,"Sao_Joao_Do_Piaui",221000,"Sao_Joao_Do_Piaui",0,3
221040,"Sao_Miguel_Do_Tapuio",221040,"Sao_Miguel_Do_Tapuio",0,3
220375,"Fartura_Do_Piaui",221060,"Sao_Raimundo_Nonato",1.06,3
221060,"Sao_Raimundo_Nonato",221060,"Sao_Raimundo_Nonato",0,3
221070,"Simoes",221070,"Simoes",0,3
220210,"Campinas_Do_Piaui",221080,"Simplicio_Mendes",0.52,3
221080,"Simplicio_Mendes",221080,"Simplicio_Mendes",0,3
221090,"Socorro_Do_Piaui",221080,"Simplicio_Mendes",1.29,3
220330,"Demerval_Lobao",221100,"Teresina",0.6,3
221100,"Teresina",221100,"Teresina",0,3
221110,"Uniao",221110,"Uniao",0,3
220170,"Bertolinia",221120,"Urucui",1.42,3
221120,"Urucui",221120,"Urucui",0,3
221130,"Valenca_Do_Piaui",221130,"Valenca_Do_Piaui",0,3
