NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
1,220020,"Agua_Branca",23352,9.57432,59.08056,29.19,113.95776,0,0,0,0,0
1,220030,"Alto_Longa",15389,6.30949,38.93417,19.23625,75.09832,0,0,0,0,0
1,220040,"Altos",43616,17.88256,110.34848,54.52,212.84608,0,0,0,0,0
1,220045,"Alvorada_Do_Gurgueia",5816,2.38456,14.71448,7.27,28.38208,0,0,0,0,0
1,220050,"Amarante",18974,7.77934,48.00422,23.7175,92.59312,0,0,0,0,0
1,220080,"Antonio_Almeida",3406,1.39646,8.61718,4.2575,16.62128,0,0,0,0,0
1,220090,"Aroazes",6303,2.58423,15.94659,7.87875,30.75864,0,0,0,0,0
1,220095,"Aroeiras_Do_Itaim",2751,1.12791,6.96003,3.43875,13.42488,0,0,0,0,0
1,220100,"Arraial",5107,2.09387,12.92071,6.38375,24.92216,0,0,0,0,0
1,220105,"Assuncao_Do_Piaui",8443,3.46163,21.36079,10.55375,41.20184,0,0,0,0,0
1,220110,"Avelino_Lopes",12136,4.97576,30.70408,15.17,59.22368,0,0,0,0,0
1,220115,"Baixa_Grande_Do_Ribeiro",12400,5.084,31.372,15.5,60.512,0,0,0,0,0
1,220120,"Barras",61996,25.41836,156.84988,77.495,302.54048,0,0,0,0,0
1,220140,"Barro_Duro",7591,3.11231,19.20523,9.48875,37.04408,0,0,0,0,0
1,220160,"Beneditinos",11284,4.62644,28.54852,14.105,55.06592,0,0,0,0,0
1,220170,"Bertolinia",10550,4.3255,26.6915,13.1875,51.484,0,0,0,0,0
1,220173,"Betania_Do_Piaui",6687,2.74167,16.91811,8.35875,32.63256,0,0,0,0,0
1,220177,"Boa_Hora",14164,5.80724,35.83492,17.705,69.12032,0,0,0,0,0
1,220190,"Bom_Jesus",32248,13.22168,81.58744,40.31,157.37024,0,0,0,0,0
1,220191,"Bom_Principio_Do_Piaui",6048,2.47968,15.30144,7.56,29.51424,0,0,0,0,0
1,220192,"Bonfim_Do_Piaui",11443,4.69163,28.95079,14.30375,55.84184,0,0,0,0,0
1,220200,"Buriti_Dos_Lopes",21306,8.73546,53.90418,26.6325,103.97328,0,0,0,0,0
1,220202,"Buriti_Dos_Montes",8869,3.63629,22.43857,11.08625,43.28072,0,0,0,0,0
1,220208,"Cajueiro_Da_Praia",8206,3.36446,20.76118,10.2575,40.04528,0,0,0,0,0
1,220210,"Campinas_Do_Piaui",6043,2.47763,15.28879,7.55375,29.48984,0,0,0,0,0
1,220211,"Campo_Alegre_Do_Fidalgo",9820,4.0262,24.8446,12.275,47.9216,0,0,0,0,0
1,220220,"Campo_Maior",50444,20.68204,127.62332,63.055,246.16672,0,0,0,0,0
1,220225,"Canavieira",4268,1.74988,10.79804,5.335,20.82784,0,0,0,0,0
1,220230,"Canto_Do_Buriti",26978,11.06098,68.25434,33.7225,131.65264,0,0,0,0,0
1,220250,"Caracol",11720,4.8052,29.6516,14.65,57.1936,0,0,0,0,0
1,220260,"Castelo_Do_Piaui",27166,11.13806,68.72998,33.9575,132.57008,0,0,0,0,0
1,220265,"Caxingo",12123,4.97043,30.67119,15.15375,59.16024,0,0,0,0,0
1,220270,"Cocal",36525,14.97525,92.40825,45.65625,178.242,0,0,0,0,0
1,220271,"Cocal_De_Telha",5264,2.15824,13.31792,6.58,25.68832,0,0,0,0,0
1,220273,"Coivaras",4322,1.77202,10.93466,5.4025,21.09136,0,0,0,0,0
1,220280,"Conceicao_Do_Caninde",5175,2.12175,13.09275,6.46875,25.254,0,0,0,0,0
1,220285,"Coronel_Jose_Dias",5045,2.06845,12.76385,6.30625,24.6196,0,0,0,0,0
1,220290,"Corrente",37575,15.40575,95.06475,46.96875,183.366,0,0,0,0,0
1,220310,"Cristino_Castro",22960,9.4136,58.0888,28.7,112.0448,0,0,0,0,0
1,220320,"Curimata",12239,5.01799,30.96467,15.29875,59.72632,0,0,0,0,0
1,220325,"Curralinhos",4773,1.95693,12.07569,5.96625,23.29224,0,0,0,0,0
1,220327,"Curral_Novo_Do_Piaui",5734,2.35094,14.50702,7.1675,27.98192,0,0,0,0,0
1,220330,"Demerval_Lobao",30641,12.56281,77.52173,38.30125,149.52808,0,0,0,0,0
1,220342,"Domingos_Mourao",4698,1.92618,11.88594,5.8725,22.92624,0,0,0,0,0
1,220345,"Dom_Inocencio",10296,4.22136,26.04888,12.87,50.24448,0,0,0,0,0
1,220350,"Elesbao_Veloso",21548,8.83468,54.51644,26.935,105.15424,0,0,0,0,0
1,220360,"Eliseu_Martins",12243,5.01963,30.97479,15.30375,59.74584,0,0,0,0,0
1,220370,"Esperantina",78959,32.37319,199.76627,98.69875,385.31992,0,0,0,0,0
1,220375,"Fartura_Do_Piaui",5711,2.34151,14.44883,7.13875,27.86968,0,0,0,0,0
1,220380,"Flores_Do_Piaui",16566,6.79206,41.91198,20.7075,80.84208,0,0,0,0,0
1,220390,"Floriano",64540,26.4614,163.2862,80.675,314.9552,0,0,0,0,0
1,220410,"Francisco_Ayres",4716,1.93356,11.93148,5.895,23.01408,0,0,0,0,0
1,220420,"Francisco_Santos",25216,10.33856,63.79648,31.52,123.05408,0,0,0,0,0
1,220430,"Fronteiras",12500,5.125,31.625,15.625,61,0,0,0,0,0
1,220440,"Gilbues",22969,9.41729,58.11157,28.71125,112.08872,0,0,0,0,0
1,220450,"Guadalupe",11325,4.64325,28.65225,14.15625,55.266,0,0,0,0,0
1,220455,"Guaribas",4914,2.01474,12.43242,6.1425,23.98032,0,0,0,0,0
1,220470,"Inhuma",27047,11.08927,68.42891,33.80875,131.98936,0,0,0,0,0
1,220490,"Isaias_Coelho",9223,3.78143,23.33419,11.52875,45.00824,0,0,0,0,0
1,220510,"Itaueira",11875,4.86875,30.04375,14.84375,57.95,0,0,0,0,0
1,220520,"Jaicos",38692,15.86372,97.89076,48.365,188.81696,0,0,0,0,0
