NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
2,410020,"Adrianopolis",6453,10.77651,7.7436,16.19703,0,17.22951,0.0425898,0.032265,0.0200043,0.0019359
2,410050,"Altonia",32104,53.61368,38.5248,80.58104,0,85.71768,0.2118864,0.16052,0.0995224,0.0096312
2,410090,"Amapora",11255,18.79585,13.506,28.25005,0,30.05085,0.074283,0.056275,0.0348905,0.0033765
2,410100,"Ampere",83817,139.97439,100.5804,210.38067,0,223.79139,0.5531922,0.419085,0.2598327,0.0251451
2,410110,"Andira",91489,152.78663,109.7868,229.63739,0,244.27563,0.6038274,0.457445,0.2836159,0.0274467
2,410120,"Antonina",38156,63.72052,45.7872,95.77156,0,101.87652,0.2518296,0.19078,0.1182836,0.0114468
2,410150,"Arapongas",130717.999999996,218.299059999993,156.861599999995,328.10217999999,0,349.017059999989,0.8627388,0.65359,0.4052258,0.0392154
2,410170,"Araruna",30117,50.29539,36.1404,75.59367,0,80.41239,0.1987722,0.150585,0.0933627,0.0090351
2,410190,"Assai",29673,49.55391,35.6076,74.47923,0,79.22691,0.1958418,0.148365,0.0919863,0.0089019
2,410210,"Astorga",38915,64.98805,46.698,97.67665,0,103.90305,0.256839,0.194575,0.1206365,0.0116745
2,410240,"Bandeirantes",44137,73.70879,52.9644,110.78387,0,117.84579,0.2913042,0.220685,0.1368247,0.0132411
2,410250,"Barbosa_Ferraz",16207,27.06569,19.4484,40.67957,0,43.27269,0.1069662,0.081035,0.0502417,0.0048621
2,410280,"Bela_Vista_Do_Paraiso",28798,48.09266,34.5576,72.28298,0,76.89066,0.1900668,0.14399,0.0892738,0.0086394
2,410290,"Bituruna",17663,29.49721,21.1956,44.33413,0,47.16021,0.1165758,0.088315,0.0547553,0.0052989
2,410305,"Boa_Vista_Da_Aparecida",34473,57.56991,41.3676,86.52723,0,92.04291,0.2275218,0.172365,0.1068663,0.0103419
2,410310,"Bocaiuva_Do_Sul",22934,38.29978,27.5208,57.56434,0,61.23378,0.1513644,0.11467,0.0710954,0.0068802
2,410330,"Borrazopolis",17043,28.46181,20.4516,42.77793,0,45.50481,0.1124838,0.085215,0.0528333,0.0051129
2,410390,"Campina_Da_Lagoa",23863,39.85121,28.6356,59.89613,0,63.71421,0.1574958,0.119315,0.0739753,0.0071589
2,410400,"Campina_Grande_Do_Sul",46248,77.23416,55.4976,116.08248,0,123.48216,0.3052368,0.23124,0.1433688,0.0138744
2,410420,"Campo_Largo",680184,1135.90728,816.2208,1707.26184,0,1816.09128,4.4892144,3.40092,2.1085704,0.2040552
2,410430,"Campo_Mourao",104998,175.34666,125.9976,263.54498,0,280.34466,0.6929868,0.52499,0.3254938,0.0314994
2,410440,"Candido_De_Abreu",16430,27.4381,19.716,41.2393,0,43.8681,0.108438,0.08215,0.050933,0.004929
2,410442,"Candoi",30844,51.50948,37.0128,77.41844,0,82.35348,0.2035704,0.15422,0.0956164,0.0092532
2,410480,"Cascavel",349963,584.43821,419.9556,878.40713,0,934.40121,2.3097558,1.749815,1.0848853,0.1049889
2,410490,"Castro",104018,173.71006,124.8216,261.08518,0,277.72806,0.6865188,0.52009,0.3224558,0.0312054
