CODIGO_O	                        ORIGEM	CODIGO_D	                       DESTINO	      DISTANCIA
330010	                Angra_Dos_Reis	330010	                Angra_Dos_Reis	    0.00
330020	                      Araruama	330020	                      Araruama	    0.00
330023	            Armacao_Dos_Buzios	330023	            Armacao_Dos_Buzios	    0.00
330040	                   Barra_Mansa	330040	                   Barra_Mansa	    0.00
330045	                  Belford_Roxo	330045	                  Belford_Roxo	    0.00
330320	                     Nilopolis	330045	                  Belford_Roxo	    0.16
330510	            Sao_Joao_De_Meriti	330045	                  Belford_Roxo	    0.13
330050	                    Bom_Jardim	330050	                    Bom_Jardim	    0.00
330060	       Bom_Jesus_Do_Itabapoana	330060	       Bom_Jesus_Do_Itabapoana	    0.00
330025	               Arraial_Do_Cabo	330070	                     Cabo_Frio	    0.26
330070	                     Cabo_Frio	330070	                     Cabo_Frio	    0.00
330187	                 Iguaba_Grande	330070	                     Cabo_Frio	    0.44
330520	           Sao_Pedro_Da_Aldeia	330070	                     Cabo_Frio	    0.27
330080	          Cachoeiras_De_Macacu	330080	          Cachoeiras_De_Macacu	    0.00
330090	                       Cambuci	330090	                       Cambuci	    0.00
330480	                   Sao_Fidelis	330090	                       Cambuci	    0.37
330100	         Campos_Dos_Goytacazes	330100	         Campos_Dos_Goytacazes	    0.00
330110	                     Cantagalo	330110	                     Cantagalo	    0.00
330130	             Casimiro_De_Abreu	330130	             Casimiro_De_Abreu	    0.00
330140	           Conceicao_De_Macabu	330140	           Conceicao_De_Macabu	    0.00
330150	                      Cordeiro	330150	                      Cordeiro	    0.00
330245	                        Macuco	330150	                      Cordeiro	    0.28
330160	                   Duas_Barras	330160	                   Duas_Barras	    0.00
330170	               Duque_De_Caxias	330170	               Duque_De_Caxias	    0.00
330190	                      Itaborai	330190	                      Itaborai	    0.00
330270	                        Marica	330190	                      Itaborai	    0.49
330490	                   Sao_Goncalo	330190	                      Itaborai	    0.37
330200	                       Itaguai	330200	                       Itaguai	    0.00
330115	               Cardoso_Moreira	330205	                        Italva	    0.25
330205	                        Italva	330205	                        Italva	    0.00
330220	                     Itaperuna	330220	                     Itaperuna	    0.00
330513	               Sao_Jose_De_Uba	330220	                     Itaperuna	    0.50
330227	                        Japeri	330227	                        Japeri	    0.00
330414	                     Queimados	330227	                        Japeri	    0.45
330230	                Laje_Do_Muriae	330230	                Laje_Do_Muriae	    0.00
330240	                         Macae	330240	                         Macae	    0.00
330185	                    Guapimirim	330250	                          Mage	    0.31
330250	                          Mage	330250	                          Mage	    0.00
330260	                   Mangaratiba	330260	                   Mangaratiba	    0.00
