NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
1,330010,"Angra_Dos_Reis",216149,88.62109,546.85697,270.18625,1054.80712,0,0,0,0,0
1,330020,"Araruama",140685,57.68085,355.93305,175.85625,686.5428,0,0,0,0,0
1,330023,"Armacao_Dos_Buzios",35851,14.69891,90.70303,44.81375,174.95288,0,0,0,0,0
1,330040,"Barra_Mansa",198427,81.35507,502.02031,248.03375,968.32376,0,0,0,0,0
1,330045,"Belford_Roxo",1232534,505.33894,3118.31102,1540.6675,6014.76592,0,0,0,0,0
1,330050,"Bom_Jardim",29411,12.05851,74.40983,36.76375,143.52568,0,0,0,0,0
1,330060,"Bom_Jesus_Do_Itabapoana",39890,16.3549,100.9217,49.8625,194.6632,0,0,0,0,0
1,330070,"Cabo_Frio",413334,169.46694,1045.73502,516.6675,2017.06992,0,0,0,0,0
1,330080,"Cachoeiras_De_Macacu",63160,25.8956,159.7948,78.95,308.2208,0,0,0,0,0
1,330090,"Cambuci",58373,23.93293,147.68369,72.96625,284.86024,0,0,0,0,0
1,330100,"Campos_Dos_Goytacazes",542967,222.61647,1373.70651,678.70875,2649.67896,0,0,0,0,0
1,330110,"Cantagalo",21762,8.92242,55.05786,27.2025,106.19856,0,0,0,0,0
1,330130,"Casimiro_De_Abreu",46696,19.14536,118.14088,58.37,227.87648,0,0,0,0,0
1,330140,"Conceicao_De_Macabu",24876,10.19916,62.93628,31.095,121.39488,0,0,0,0,0
1,330150,"Cordeiro",29531,12.10771,74.71343,36.91375,144.11128,0,0,0,0,0
1,330160,"Duas_Barras",12354,5.06514,31.25562,15.4425,60.28752,0,0,0,0,0
1,330170,"Duque_De_Caxias",986206,404.34446,2495.10118,1232.7575,4812.68528,0,0,0,0,0
1,330190,"Itaborai",1589964,651.88524,4022.60892,1987.455,7759.02432,0,0,0,0,0
1,330200,"Itaguai",135803,55.67923,343.58159,169.75375,662.71864,0,0,0,0,0
1,330205,"Italva",30133,12.35453,76.23649,37.66625,147.04904,0,0,0,0,0
1,330220,"Itaperuna",118381,48.53621,299.50393,147.97625,577.69928,0,0,0,0,0
1,330227,"Japeri",273115,111.97715,690.98095,341.39375,1332.8012,0,0,0,0,0
1,330230,"Laje_Do_Muriae",7966,3.26606,20.15398,9.9575,38.87408,0,0,0,0,0
1,330240,"Macae",271396,111.27236,686.63188,339.245,1324.41248,0,0,0,0,0
1,330250,"Mage",327091,134.10731,827.54023,408.86375,1596.20408,0,0,0,0,0
1,330260,"Mangaratiba",47121,19.31961,119.21613,58.90125,229.95048,0,0,0,0,0
1,330280,"Mendes",127858,52.42178,323.48074,159.8225,623.94704,0,0,0,0,0
1,330285,"Mesquita",189415,77.66015,479.21995,236.76875,924.3452,0,0,0,0,0
