NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
3	330010	Angra_Dos_Reis	216149.00	430.14	1941.02	542.53	0.00	393.39	4.30	3.63	3.37	2.20
3	330020	Araruama	747326.00	1487.18	6710.99	1875.79	0.00	1360.13	14.87	12.56	11.66	7.62
3	330040	Barra_Mansa	729456.00	1451.62	6550.51	1830.93	0.00	1327.61	14.52	12.25	11.38	7.44
3	330060	Bom_Jesus_Do_Itabapoana	70023.00	139.35	628.81	175.76	0.00	127.44	1.39	1.18	1.09	0.71
3	330100	Campos_Dos_Goytacazes	581944.00	1158.07	5225.86	1460.68	0.00	1059.14	11.58	9.78	9.08	5.94
3	330170	Duque_De_Caxias	2218740.00	4415.29	19924.29	5569.04	0.00	4038.11	44.15	37.27	34.61	22.63
3	330220	Itaperuna	204152.00	406.26	1833.28	512.42	0.00	371.56	4.06	3.43	3.18	2.08
3	330240	Macae	351165.00	698.82	3153.46	881.42	0.00	639.12	6.99	5.90	5.48	3.58
3	330250	Mage	327091.00	650.91	2937.28	821.00	0.00	595.31	6.51	5.50	5.10	3.34
3	330330	Niteroi	551986.00	1098.45	4956.83	1385.48	0.00	1004.61	10.98	9.27	8.61	5.63
3	330340	Nova_Friburgo	382527.00	761.23	3435.09	960.14	0.00	696.20	7.61	6.43	5.97	3.90
3	330350	Nova_Iguacu	1255535.00	2498.51	11274.70	3151.39	0.00	2285.07	24.99	21.09	19.59	12.81
3	330380	Paraty	45978.00	91.50	412.88	115.40	0.00	83.68	0.91	0.77	0.72	0.47
3	330390	Petropolis	715345.00	1423.54	6423.80	1795.52	0.00	1301.93	14.24	12.02	11.16	7.30
3	330455	Rio_De_Janeiro	7214328.00	14356.51	64784.67	18107.96	0.00	13130.08	143.57	121.20	112.54	73.59
3	330470	Santo_Antonio_De_Padua	141656.00	281.90	1272.07	355.56	0.00	257.81	2.82	2.38	2.21	1.44
3	330475	Sao_Francisco_De_Itabapoana	45516.00	90.58	408.73	114.25	0.00	82.84	0.91	0.76	0.71	0.46
3	330575	Tangua	1855778.00	3693.00	16664.89	4658.00	0.00	3377.52	36.93	31.18	28.95	18.93
3	330610	Valenca	708705.00	1410.32	6364.17	1778.85	0.00	1289.84	14.10	11.91	11.06	7.23
3	330620	Vassouras	144437.00	287.43	1297.04	362.54	0.00	262.88	2.87	2.43	2.25	1.47
