NIVEL,CODIGO,DESTINO,COD_ESP,RECURSO,POP_ATENDIDA,ATEND_FTE
1,330010,"Angra_Dos_Reis",1,"Physicians",216149,88.6211
1,330010,"Angra_Dos_Reis",2,"Nurses",216149,546.857
1,330010,"Angra_Dos_Reis",3,"OtherCadres",216149,270.1862
1,330010,"Angra_Dos_Reis",4,"CommunityBased",216149,1054.8071
1,330010,"Angra_Dos_Reis",5,"Beds",216149,0
1,330010,"Angra_Dos_Reis",6,"CTScanner",216149,0
1,330010,"Angra_Dos_Reis",7,"MRIUnit",216149,0
1,330010,"Angra_Dos_Reis",8,"Mammography",216149,0
1,330010,"Angra_Dos_Reis",9,"Radiotherapy",216149,0
1,330020,"Araruama",1,"Physicians",140685,57.6809
1,330020,"Araruama",2,"Nurses",140685,355.9331
1,330020,"Araruama",3,"OtherCadres",140685,175.8563
1,330020,"Araruama",4,"CommunityBased",140685,686.5428
1,330020,"Araruama",5,"Beds",140685,0
1,330020,"Araruama",6,"CTScanner",140685,0
1,330020,"Araruama",7,"MRIUnit",140685,0
1,330020,"Araruama",8,"Mammography",140685,0
1,330020,"Araruama",9,"Radiotherapy",140685,0
1,330023,"Armacao_Dos_Buzios",1,"Physicians",35851,14.6989
1,330023,"Armacao_Dos_Buzios",2,"Nurses",35851,90.703
1,330023,"Armacao_Dos_Buzios",3,"OtherCadres",35851,44.8138
1,330023,"Armacao_Dos_Buzios",4,"CommunityBased",35851,174.9529
1,330023,"Armacao_Dos_Buzios",5,"Beds",35851,0
1,330023,"Armacao_Dos_Buzios",6,"CTScanner",35851,0
1,330023,"Armacao_Dos_Buzios",7,"MRIUnit",35851,0
1,330023,"Armacao_Dos_Buzios",8,"Mammography",35851,0
1,330023,"Armacao_Dos_Buzios",9,"Radiotherapy",35851,0
1,330040,"Barra_Mansa",1,"Physicians",198427,81.3551
1,330040,"Barra_Mansa",2,"Nurses",198427,502.0203
1,330040,"Barra_Mansa",3,"OtherCadres",198427,248.0338
1,330040,"Barra_Mansa",4,"CommunityBased",198427,968.3238
1,330040,"Barra_Mansa",5,"Beds",198427,0
1,330040,"Barra_Mansa",6,"CTScanner",198427,0
1,330040,"Barra_Mansa",7,"MRIUnit",198427,0
1,330040,"Barra_Mansa",8,"Mammography",198427,0
1,330040,"Barra_Mansa",9,"Radiotherapy",198427,0
1,330045,"Belford_Roxo",1,"Physicians",1232534,505.3389
1,330045,"Belford_Roxo",2,"Nurses",1232534,3118.3111
1,330045,"Belford_Roxo",3,"OtherCadres",1232534,1540.6676
1,330045,"Belford_Roxo",4,"CommunityBased",1232534,6014.7659
1,330045,"Belford_Roxo",5,"Beds",1232534,0
1,330045,"Belford_Roxo",6,"CTScanner",1232534,0
1,330045,"Belford_Roxo",7,"MRIUnit",1232534,0
1,330045,"Belford_Roxo",8,"Mammography",1232534,0
1,330045,"Belford_Roxo",9,"Radiotherapy",1232534,0
1,330050,"Bom_Jardim",1,"Physicians",29411,12.0585
1,330050,"Bom_Jardim",2,"Nurses",29411,74.4098
1,330050,"Bom_Jardim",3,"OtherCadres",29411,36.7638
1,330050,"Bom_Jardim",4,"CommunityBased",29411,143.5257
1,330050,"Bom_Jardim",5,"Beds",29411,0
1,330050,"Bom_Jardim",6,"CTScanner",29411,0
1,330050,"Bom_Jardim",7,"MRIUnit",29411,0
1,330050,"Bom_Jardim",8,"Mammography",29411,0
1,330050,"Bom_Jardim",9,"Radiotherapy",29411,0
1,330060,"Bom_Jesus_Do_Itabapoana",1,"Physicians",39890,16.3549
1,330060,"Bom_Jesus_Do_Itabapoana",2,"Nurses",39890,100.9217
1,330060,"Bom_Jesus_Do_Itabapoana",3,"OtherCadres",39890,49.8625
1,330060,"Bom_Jesus_Do_Itabapoana",4,"CommunityBased",39890,194.6632
1,330060,"Bom_Jesus_Do_Itabapoana",5,"Beds",39890,0
1,330060,"Bom_Jesus_Do_Itabapoana",6,"CTScanner",39890,0
1,330060,"Bom_Jesus_Do_Itabapoana",7,"MRIUnit",39890,0
1,330060,"Bom_Jesus_Do_Itabapoana",8,"Mammography",39890,0
1,330060,"Bom_Jesus_Do_Itabapoana",9,"Radiotherapy",39890,0
1,330070,"Cabo_Frio",1,"Physicians",413334,169.4669
1,330070,"Cabo_Frio",2,"Nurses",413334,1045.735
1,330070,"Cabo_Frio",3,"OtherCadres",413334,516.6676
1,330070,"Cabo_Frio",4,"CommunityBased",413334,2017.0699
1,330070,"Cabo_Frio",5,"Beds",413334,0
1,330070,"Cabo_Frio",6,"CTScanner",413334,0
1,330070,"Cabo_Frio",7,"MRIUnit",413334,0
1,330070,"Cabo_Frio",8,"Mammography",413334,0
1,330070,"Cabo_Frio",9,"Radiotherapy",413334,0
1,330080,"Cachoeiras_De_Macacu",1,"Physicians",63160,25.8956
1,330080,"Cachoeiras_De_Macacu",2,"Nurses",63160,159.7948
1,330080,"Cachoeiras_De_Macacu",3,"OtherCadres",63160,78.95
1,330080,"Cachoeiras_De_Macacu",4,"CommunityBased",63160,308.2208
1,330080,"Cachoeiras_De_Macacu",5,"Beds",63160,0
1,330080,"Cachoeiras_De_Macacu",6,"CTScanner",63160,0
1,330080,"Cachoeiras_De_Macacu",7,"MRIUnit",63160,0
1,330080,"Cachoeiras_De_Macacu",8,"Mammography",63160,0
1,330080,"Cachoeiras_De_Macacu",9,"Radiotherapy",63160,0
1,330090,"Cambuci",1,"Physicians",58373,23.9329
1,330090,"Cambuci",2,"Nurses",58373,147.6837
1,330090,"Cambuci",3,"OtherCadres",58373,72.9663
1,330090,"Cambuci",4,"CommunityBased",58373,284.8602
