NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
3,110004,"Cacoal",102004,202.98796,915.99592,256.03004,0,185.64728,2.0298796,1.7136672,1.5912624,1.0404408
3,110006,"Colorado_Do_Oeste",51627,102.73773,463.61046,129.58377,0,93.96114,1.0273773,0.8673336,0.8053812,0.5265954
3,110010,"Guajara_Mirim",49379,98.26421,443.42342,123.94129,0,89.86978,0.9826421,0.8295672,0.7703124,0.5036658
3,110011,"Jaru",90285,179.66715,810.7593,226.61535,0,164.3187,1.7966715,1.516788,1.408446,0.920907
3,110013,"Machadinho_Doeste",54062,107.58338,485.47676,135.69562,0,98.39284,1.0758338,0.9082416,0.8433672,0.5514324
3,110014,"Nova_Brasilandia_Doeste",22066,43.91134,198.15268,55.38566,0,40.16012,0.4391134,0.3707088,0.3442296,0.2250732
3,110015,"Ouro_Preto_Do_Oeste",229886,457.47314,2064.37628,577.01386,0,418.39252,4.5747314,3.8620848,3.5862216,2.3448372
3,110018,"Pimenta_Bueno",134692,268.03708,1209.53416,338.07692,0,245.13944,2.6803708,2.2628256,2.1011952,1.3738584
3,110020,"Porto_Velho",560339,1115.07461,5031.84422,1406.45089,0,1019.81698,11.1507461,9.4136952,8.7412884,5.7154578
3,110028,"Rolim_De_Moura",105490,209.9251,947.3002,264.7799,0,191.9918,2.099251,1.772232,1.645644,1.075998
3,110030,"Vilhena",105102,209.15298,943.81596,263.80602,0,191.28564,2.0915298,1.7657136,1.6395912,1.0720404
3,110032,"Sao_Miguel_Do_Guapore",37524,74.67276,336.96552,94.18524,0,68.29368,0.7467276,0.6304032,0.5853744,0.3827448
3,110033,"Nova_Mamore",32094,63.86706,288.20412,80.55594,0,58.41108,0.6386706,0.5391792,0.5006664,0.3273588
3,110040,"Alto_Paraiso",65766,130.87434,590.57868,165.07266,0,119.69412,1.3087434,1.1048688,1.0259496,0.6708132
3,110045,"Buritis",41995,83.57005,377.1151,105.40745,0,76.4309,0.8357005,0.705516,0.655122,0.428349
3,110094,"Cujubim",26129,51.99671,234.63842,65.58379,0,47.55478,0.5199671,0.4389672,0.4076124,0.2665158
3,110140,"Monte_Negro",146544,291.62256,1315.96512,367.82544,0,266.71008,2.9162256,2.4619392,2.2860864,1.4947488
3,110149,"Sao_Francisco_Do_Guapore",40658,80.90942,365.10884,102.05158,0,73.99756,0.8090942,0.6830544,0.6342648,0.4147116
