NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
1,140002,"Amajari",13368,5.48088,33.82104,16.71,65.23584,0,0,0,0,0
1,140005,"Alto_Alegre",16866,6.91506,42.67098,21.0825,82.30608,0,0,0,0,0
1,140010,"Boa_Vista",404859,165.99219,1024.29327,506.07375,1975.71192,0,0,0,0,0
1,140015,"Bonfim",13220,5.4202,33.4466,16.525,64.5136,0,0,0,0,0
1,140017,"Canta",19271,7.90111,48.75563,24.08875,94.04248,0,0,0,0,0
1,140020,"Caracarai",23258,9.53578,58.84274,29.0725,113.49904,0,0,0,0,0
1,140028,"Iracema",12511,5.12951,31.65283,15.63875,61.05368,0,0,0,0,0
1,140030,"Mucajai",18905,7.75105,47.82965,23.63125,92.2564,0,0,0,0,0
1,140040,"Normandia",11913,4.88433,30.13989,14.89125,58.13544,0,0,0,0,0
1,140045,"Pacaraima",16804,6.88964,42.51412,21.005,82.00352,0,0,0,0,0
1,140047,"Rorainopolis",31853,13.05973,80.58809,39.81625,155.44264,0,0,0,0,0
1,140050,"Sao_Joao_Da_Baliza",27893,11.43613,70.56929,34.86625,136.11784,0,0,0,0,0
1,140070,"Uiramuta",11136,4.56576,28.17408,13.92,54.34368,0,0,0,0,0
