NIVEL,CODIGO,DESTINO,COD_ESP,RECURSO,POP_ATENDIDA,ATEND_FTE
1,140002,"Amajari",1,"Physicians",13368,5.4809
1,140002,"Amajari",2,"Nurses",13368,33.821
1,140002,"Amajari",3,"OtherCadres",13368,16.71
1,140002,"Amajari",4,"CommunityBased",13368,65.2358
1,140002,"Amajari",5,"Beds",13368,0
1,140002,"Amajari",6,"CTScanner",13368,0
1,140002,"Amajari",7,"MRIUnit",13368,0
1,140002,"Amajari",8,"Mammography",13368,0
1,140002,"Amajari",9,"Radiotherapy",13368,0
1,140005,"Alto_Alegre",1,"Physicians",16866,6.9151
1,140005,"Alto_Alegre",2,"Nurses",16866,42.671
1,140005,"Alto_Alegre",3,"OtherCadres",16866,21.0825
1,140005,"Alto_Alegre",4,"CommunityBased",16866,82.3061
1,140005,"Alto_Alegre",5,"Beds",16866,0
1,140005,"Alto_Alegre",6,"CTScanner",16866,0
1,140005,"Alto_Alegre",7,"MRIUnit",16866,0
1,140005,"Alto_Alegre",8,"Mammography",16866,0
1,140005,"Alto_Alegre",9,"Radiotherapy",16866,0
1,140010,"Boa_Vista",1,"Physicians",404859,165.9922
1,140010,"Boa_Vista",2,"Nurses",404859,1024.2933
1,140010,"Boa_Vista",3,"OtherCadres",404859,506.0738
1,140010,"Boa_Vista",4,"CommunityBased",404859,1975.7119
1,140010,"Boa_Vista",5,"Beds",404859,0
1,140010,"Boa_Vista",6,"CTScanner",404859,0
1,140010,"Boa_Vista",7,"MRIUnit",404859,0
1,140010,"Boa_Vista",8,"Mammography",404859,0
1,140010,"Boa_Vista",9,"Radiotherapy",404859,0
1,140015,"Bonfim",1,"Physicians",13220,5.4202
1,140015,"Bonfim",2,"Nurses",13220,33.4466
1,140015,"Bonfim",3,"OtherCadres",13220,16.525
1,140015,"Bonfim",4,"CommunityBased",13220,64.5136
1,140015,"Bonfim",5,"Beds",13220,0
1,140015,"Bonfim",6,"CTScanner",13220,0
1,140015,"Bonfim",7,"MRIUnit",13220,0
1,140015,"Bonfim",8,"Mammography",13220,0
1,140015,"Bonfim",9,"Radiotherapy",13220,0
1,140017,"Canta",1,"Physicians",19271,7.9011
1,140017,"Canta",2,"Nurses",19271,48.7556
1,140017,"Canta",3,"OtherCadres",19271,24.0888
1,140017,"Canta",4,"CommunityBased",19271,94.0425
1,140017,"Canta",5,"Beds",19271,0
1,140017,"Canta",6,"CTScanner",19271,0
1,140017,"Canta",7,"MRIUnit",19271,0
1,140017,"Canta",8,"Mammography",19271,0
1,140017,"Canta",9,"Radiotherapy",19271,0
1,140020,"Caracarai",1,"Physicians",23258,9.5358
1,140020,"Caracarai",2,"Nurses",23258,58.8427
1,140020,"Caracarai",3,"OtherCadres",23258,29.0725
1,140020,"Caracarai",4,"CommunityBased",23258,113.499
1,140020,"Caracarai",5,"Beds",23258,0
1,140020,"Caracarai",6,"CTScanner",23258,0
1,140020,"Caracarai",7,"MRIUnit",23258,0
1,140020,"Caracarai",8,"Mammography",23258,0
1,140020,"Caracarai",9,"Radiotherapy",23258,0
1,140028,"Iracema",1,"Physicians",12511,5.1295
1,140028,"Iracema",2,"Nurses",12511,31.6528
1,140028,"Iracema",3,"OtherCadres",12511,15.6388
1,140028,"Iracema",4,"CommunityBased",12511,61.0537
1,140028,"Iracema",5,"Beds",12511,0
1,140028,"Iracema",6,"CTScanner",12511,0
1,140028,"Iracema",7,"MRIUnit",12511,0
1,140028,"Iracema",8,"Mammography",12511,0
1,140028,"Iracema",9,"Radiotherapy",12511,0
1,140030,"Mucajai",1,"Physicians",18905,7.7511
1,140030,"Mucajai",2,"Nurses",18905,47.8296
1,140030,"Mucajai",3,"OtherCadres",18905,23.6313
1,140030,"Mucajai",4,"CommunityBased",18905,92.2564
1,140030,"Mucajai",5,"Beds",18905,0
1,140030,"Mucajai",6,"CTScanner",18905,0
1,140030,"Mucajai",7,"MRIUnit",18905,0
1,140030,"Mucajai",8,"Mammography",18905,0
1,140030,"Mucajai",9,"Radiotherapy",18905,0
1,140040,"Normandia",1,"Physicians",11913,4.8843
1,140040,"Normandia",2,"Nurses",11913,30.1399
1,140040,"Normandia",3,"OtherCadres",11913,14.8913
1,140040,"Normandia",4,"CommunityBased",11913,58.1354
1,140040,"Normandia",5,"Beds",11913,0
1,140040,"Normandia",6,"CTScanner",11913,0
1,140040,"Normandia",7,"MRIUnit",11913,0
1,140040,"Normandia",8,"Mammography",11913,0
1,140040,"Normandia",9,"Radiotherapy",11913,0
1,140045,"Pacaraima",1,"Physicians",16804,6.8896
1,140045,"Pacaraima",2,"Nurses",16804,42.5141
1,140045,"Pacaraima",3,"OtherCadres",16804,21.005
1,140045,"Pacaraima",4,"CommunityBased",16804,82.0035
1,140045,"Pacaraima",5,"Beds",16804,0
1,140045,"Pacaraima",6,"CTScanner",16804,0
1,140045,"Pacaraima",7,"MRIUnit",16804,0
1,140045,"Pacaraima",8,"Mammography",16804,0
1,140045,"Pacaraima",9,"Radiotherapy",16804,0
1,140047,"Rorainopolis",1,"Physicians",31853,13.0597
1,140047,"Rorainopolis",2,"Nurses",31853,80.5881
1,140047,"Rorainopolis",3,"OtherCadres",31853,39.8162
1,140047,"Rorainopolis",4,"CommunityBased",31853,155.4426
1,140047,"Rorainopolis",5,"Beds",31853,0
1,140047,"Rorainopolis",6,"CTScanner",31853,0
1,140047,"Rorainopolis",7,"MRIUnit",31853,0
1,140047,"Rorainopolis",8,"Mammography",31853,0
1,140047,"Rorainopolis",9,"Radiotherapy",31853,0
1,140050,"Sao_Joao_Da_Baliza",1,"Physicians",27893,11.4361
1,140050,"Sao_Joao_Da_Baliza",2,"Nurses",27893,70.5693
1,140050,"Sao_Joao_Da_Baliza",3,"OtherCadres",27893,34.8663
1,140050,"Sao_Joao_Da_Baliza",4,"CommunityBased",27893,136.1179
1,140050,"Sao_Joao_Da_Baliza",5,"Beds",27893,0
1,140050,"Sao_Joao_Da_Baliza",6,"CTScanner",27893,0
1,140050,"Sao_Joao_Da_Baliza",7,"MRIUnit",27893,0
1,140050,"Sao_Joao_Da_Baliza",8,"Mammography",27893,0
1,140050,"Sao_Joao_Da_Baliza",9,"Radiotherapy",27893,0
1,140070,"Uiramuta",1,"Physicians",11136,4.5658
1,140070,"Uiramuta",2,"Nurses",11136,28.1741
1,140070,"Uiramuta",3,"OtherCadres",11136,13.92
1,140070,"Uiramuta",4,"CommunityBased",11136,54.3437
1,140070,"Uiramuta",5,"Beds",11136,0
1,140070,"Uiramuta",6,"CTScanner",11136,0
1,140070,"Uiramuta",7,"MRIUnit",11136,0
1,140070,"Uiramuta",8,"Mammography",11136,0
