NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
2,430010,"Agudo",77961,130.19487,93.5532,195.68211,0,208.15587,0.5145426,0.389805,0.2416791,0.0233883
2,430040,"Alegrete",79999,133.59833,95.9988,200.79749,0,213.59733,0.5279934,0.399995,0.2479969,0.0239997
2,430080,"Antonio_Prado",25133.9999999986,41.9737799999977,30.1607999999983,63.0863399999965,0,67.1077799999963,0.1658844,0.12567,0.0779154,0.0075402
2,430100,"Arroio_Do_Meio",33534,56.00178,40.2408,84.17034,0,89.53578,0.2213244,0.16767,0.1039554,0.0100602
2,430120,"Arroio_Do_Tigre",39524,66.00508,47.4288,99.20524,0,105.52908,0.2608584,0.19762,0.1225244,0.0118572
2,430130,"Arroio_Grande",42138.0000000009,70.3704600000016,50.5656000000011,105.766380000002,0,112.508460000003,0.2781108,0.21069,0.1306278,0.0126414
2,430160,"Bage",142924,238.68308,171.5088,358.73924,0,381.60708,0.9432984,0.71462,0.4430644,0.0428772
2,430210,"Bento_Goncalves",189846,317.04282,227.8152,476.51346,0,506.88882,1.2529836,0.94923,0.5885226,0.0569538
2,430270,"Butia",31250,52.1875,37.5,78.4375,0,83.4375,0.20625,0.15625,0.096875,0.009375
2,430280,"Cacapava_Do_Sul",53224,88.88408,63.8688,133.59224,0,142.10808,0.3512784,0.26612,0.1649944,0.0159672
2,430290,"Cacequi",34893,58.27131,41.8716,87.58143,0,93.16431,0.2302938,0.174465,0.1081683,0.0104679
2,430300,"Cachoeira_Do_Sul",89031,148.68177,106.8372,223.46781,0,237.71277,0.5876046,0.445155,0.2759961,0.0267093
2,430350,"Camaqua",83678,139.74226,100.4136,210.03178,0,223.42026,0.5522748,0.41839,0.2594018,0.0251034
2,430390,"Campo_Bom",112898,188.53966,135.4776,283.37398,0,301.43766,0.7451268,0.56449,0.3499838,0.0338694
2,430420,"Candelaria",59213,98.88571,71.0556,148.62463,0,158.09871,0.3908058,0.296065,0.1835603,0.0177639
2,430450,"Cangucu",67320,112.4244,80.784,168.9732,0,179.7444,0.444312,0.3366,0.208692,0.020196
2,430460,"Canoas",1225553,2046.67351,1470.6636,3076.13803,0,3272.22651,8.0886498,6.127765,3.7992143,0.3676659
2,430463,"Capao_Da_Canoa",81296,135.76432,97.5552,204.05296,0,217.06032,0.5365536,0.40648,0.2520176,0.0243888
2,430470,"Carazinho",94576,157.94192,113.4912,237.38576,0,252.51792,0.6242016,0.47288,0.2931856,0.0283728
2,430510,"Caxias_Do_Sul",620855,1036.82785,745.026,1558.34605,0,1657.68285,4.097643,3.104275,1.9246505,0.1862565
2,430520,"Cerro_Largo",72944,121.81648,87.5328,183.08944,0,194.76048,0.4814304,0.36472,0.2261264,0.0218832
2,430610,"Cruz_Alta",68127,113.77209,81.7524,170.99877,0,181.89909,0.4496382,0.340635,0.2111937,0.0204381
2,430620,"Cruzeiro_Do_Sul",152752,255.09584,183.3024,383.40752,0,407.84784,1.0081632,0.76376,0.4735312,0.0458256
2,430650,"Dom_Feliciano",29890.0000000002,49.9163000000003,35.8680000000002,75.0239000000005,0,79.8063000000005,0.197274,0.14945,0.092659,0.008967
2,430660,"Dom_Pedrito",41620,69.5054,49.944,104.4662,0,111.1254,0.274692,0.2081,0.129022,0.012486
2,430680,"Encantado",62459,104.30653,74.9508,156.77209,0,166.76553,0.4122294,0.312295,0.1936229,0.0187377
2,430690,"Encruzilhada_Do_Sul",27817,46.45439,33.3804,69.82067,0,74.27139,0.1835922,0.139085,0.0862327,0.0083451
2,430700,"Erechim",187492.000000001,313.111640000001,224.990400000001,470.604920000002,0,500.603640000002,1.2374472,0.93746,0.5812252,0.0562476
2,430750,"Espumoso",38269,63.90923,45.9228,96.05519,0,102.17823,0.2525754,0.191345,0.1186339,0.0114807
2,430770,"Esteio",89650,149.7155,107.58,225.0215,0,239.3655,0.59169,0.44825,0.277915,0.026895
2,430780,"Estrela",91266,152.41422,109.5192,229.07766,0,243.68022,0.6023556,0.45633,0.2829246,0.0273798
2,430820,"Flores_Da_Cunha",35568.0000000009,59.3985600000016,42.6816000000011,89.2756800000023,0,94.9665600000025,0.2347488,0.17784,0.1102608,0.0106704
2,430850,"Frederico_Westphalen",125263,209.18921,150.3156,314.41013,0,334.45221,0.8267358,0.626315,0.3883153,0.0375789
2,430860,"Garibaldi",39278,65.59426,47.1336,98.58778,0,104.87226,0.2592348,0.19639,0.1217618,0.0117834
2,430890,"Getulio_Vargas",52659,87.94053,63.1908,132.17409,0,140.59953,0.3475494,0.263295,0.1632429,0.0157977
2,430910,"Gramado",86677,144.75059,104.0124,217.55927,0,231.42759,0.5720682,0.433385,0.2686987,0.0260031
2,430930,"Guaiba",120221,200.76907,144.2652,301.75471,0,320.99007,0.7934586,0.601105,0.3726851,0.0360663
2,430940,"Guapore",55154,92.10718,66.1848,138.43654,0,147.26118,0.3640164,0.27577,0.1709774,0.0165462
2,430960,"Horizontina",75380,125.8846,90.456,189.2038,0,201.2646,0.497508,0.3769,0.233678,0.022614
2,431000,"Ibiruba",45954,76.74318,55.1448,115.34454,0,122.69718,0.3032964,0.22977,0.1424574,0.0137862
2,431020,"Ijui",128696,214.92232,154.4352,323.02696,0,343.61832,0.8493936,0.64348,0.3989576,0.0386088
2,431060,"Itaqui",45698,76.31566,54.8376,114.70198,0,122.01366,0.3016068,0.22849,0.1416638,0.0137094
2,431100,"Jaguarao",28980,48.3966,34.776,72.7398,0,77.3766,0.191268,0.1449,0.089838,0.008694
2,431120,"Julio_De_Castilhos",52164,87.11388,62.5968,130.93164,0,139.27788,0.3442824,0.26082,0.1617084,0.0156492
2,431130,"Lagoa_Vermelha",48265,80.60255,57.918,121.14515,0,128.86755,0.318549,0.241325,0.1496215,0.0144795
2,431180,"Marau",62221,103.90907,74.6652,156.17471,0,166.13007,0.4106586,0.311105,0.1928851,0.0186663
2,431250,"Mostardas",19671,32.85057,23.6052,49.37421,0,52.52157,0.1298286,0.098355,0.0609801,0.0059013
2,431320,"Nova_Petropolis",28961,48.36487,34.7532,72.69211,0,77.32587,0.1911426,0.144805,0.0897791,0.0086883
2,431330,"Nova_Prata",59655,99.62385,71.586,149.73405,0,159.27885,0.393723,0.298275,0.1849305,0.0178965
2,431350,"Osorio",169730.000000001,283.449100000001,203.676000000001,426.022300000002,0,453.179100000002,1.120218,0.84865,0.526163,0.050919
2,431370,"Palmeira_Das_Missoes",52906,88.35302,63.4872,132.79406,0,141.25902,0.3491796,0.26453,0.1640086,0.0158718
2,431390,"Panambi",71963,120.17821,86.3556,180.62713,0,192.14121,0.4749558,0.359815,0.2230853,0.0215889
2,431410,"Passo_Fundo",233173,389.39891,279.8076,585.26423,0,622.57191,1.5389418,1.165865,0.7228363,0.0699519
2,431440,"Pelotas",398918,666.19306,478.7016,1001.28418,0,1065.11106,2.6328588,1.99459,1.2366458,0.1196754
2,431450,"Pinheiro_Machado",47997,80.15499,57.5964,120.47247,0,128.15199,0.3167802,0.239985,0.1487907,0.0143991
