CODIGO_O	                        ORIGEM	CODIGO_D	                       DESTINO	      DISTANCIA
420010	                  Abelardo_Luz	420010	                  Abelardo_Luz	    0.00
421185	                    Ouro_Verde	420010	                  Abelardo_Luz	    0.49
420040	                     Agua_Doce	420040	                     Agua_Doce	    0.00
421850	                  Treze_Tilias	420040	                     Agua_Doce	    0.37
420070	                Alfredo_Wagner	420070	                Alfredo_Wagner	    0.00
420090	                      Angelina	420090	                      Angelina	    0.00
421430	               Rancho_Queimado	420090	                      Angelina	    0.30
420005	                 Abdon_Batista	420100	               Anita_Garibaldi	    0.43
420100	               Anita_Garibaldi	420100	               Anita_Garibaldi	    0.00
420110	                    Anitapolis	420110	                    Anitapolis	    0.00
420127	                       Arabuta	420127	                       Arabuta	    0.00
420140	                     Ararangua	420140	                     Ararangua	    0.00
420195	     Balneario_Arroio_Do_Silva	420140	                     Ararangua	    0.20
420519	                          Ermo	420140	                     Ararangua	    0.38
421080	                       Meleiro	420140	                     Ararangua	    0.42
421565	             Santa_Rosa_Do_Sul	420140	                     Ararangua	    0.49
420160	                 Arroio_Trinta	420160	                 Arroio_Trinta	    0.00
421005	                      Macieira	420160	                 Arroio_Trinta	    0.31
420165	                      Arvoredo	420165	                      Arvoredo	    0.00
420200	            Balneario_Camboriu	420200	            Balneario_Camboriu	    0.00
421250	                         Penha	420200	            Balneario_Camboriu	    0.49
421280	            Balneario_Picarras	420200	            Balneario_Camboriu	    0.47
420205	        Balneario_Barra_Do_Sul	420205	        Balneario_Barra_Do_Sul	    0.00
420210	                   Barra_Velha	420210	                   Barra_Velha	    0.00
420220	                 Benedito_Novo	420220	                 Benedito_Novo	    0.00
420515	               Doutor_Pedrinho	420220	                 Benedito_Novo	    0.41
421470	                Rio_Dos_Cedros	420220	                 Benedito_Novo	    0.40
421820	                         Timbo	420220	                 Benedito_Novo	    0.26
420240	                      Blumenau	420240	                      Blumenau	    0.00
420243	                Bocaina_Do_Sul	420243	                Bocaina_Do_Sul	    0.00
421505	                    Rio_Rufino	420243	                Bocaina_Do_Sul	    0.48
420250	           Bom_Jardim_Da_Serra	420250	           Bom_Jardim_Da_Serra	    0.00
420260	                    Bom_Retiro	420260	                    Bom_Retiro	    0.00
420150	                       Armazem	420280	                Braco_Do_Norte	    0.44
420280	                Braco_Do_Norte	420280	                Braco_Do_Norte	    0.00
420610	                     Grao_Para	420280	                Braco_Do_Norte	    0.27
420620	                      Gravatal	420280	                Braco_Do_Norte	    0.27
421700	                   Sao_Ludgero	420280	                Braco_Do_Norte	    0.17
420287	                    Brunopolis	420287	                    Brunopolis	    0.00
420270	                      Botuvera	420290	                       Brusque	    0.49
