NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
3,420070,"Alfredo_Wagner",178110,354.4389,1599.4278,447.0561,0,324.1602,3.544389,2.992248,2.778516,1.816722
3,420140,"Ararangua",174311,346.87889,1565.31278,437.52061,0,317.24602,3.4687889,2.9284248,2.7192516,1.7779722
3,420240,"Blumenau",751424,1495.33376,6747.78752,1886.07424,0,1367.59168,14.9533376,12.6239232,11.7222144,7.6645248
3,420360,"Campos_Novos",55091,109.63109,494.71718,138.27841,0,100.26562,1.0963109,0.9255288,0.8594196,0.5619282
3,420400,"Catanduvas",108178,215.27422,971.43844,271.52678,0,196.88396,2.1527422,1.8173904,1.6875768,1.1034156
3,420420,"Chapeco",260743,518.87857,2341.47214,654.46493,0,474.55226,5.1887857,4.3804824,4.0675908,2.6595786
3,420430,"Concordia",188799,375.71001,1695.41502,473.88549,0,343.61418,3.7571001,3.1718232,2.9452644,1.9257498
3,420460,"Criciuma",500874,996.73926,4497.84852,1257.19374,0,911.59068,9.9673926,8.4146832,7.8136344,5.1089148
3,420490,"Descanso",171022,340.33378,1535.77756,429.26522,0,311.26004,3.4033378,2.8731696,2.6679432,1.7444244
3,420540,"Florianopolis",743283,1479.13317,6674.68134,1865.64033,0,1352.77506,14.7913317,12.4871544,11.5952148,7.5814866
3,420790,"Irineopolis",159701,317.80499,1434.11498,400.84951,0,290.65582,3.1780499,2.6829768,2.4913356,1.6289502
3,420820,"Itajai",246452,490.43948,2213.13896,618.59452,0,448.54264,4.9043948,4.1403936,3.8446512,2.5138104
3,420910,"Joinville",1489044,2963.19756,13371.61512,3737.50044,0,2710.06008,29.6319756,25.0159392,23.2290864,15.1882488
3,420930,"Lages",243850,485.2615,2189.773,612.063499999999,0,443.807,4.852615,4.09668,3.80406,2.48727
3,421100,"Mondai",12503,24.88097,112.27694,31.38253,0,22.75546,0.2488097,0.2100504,0.1950468,0.1275306
3,421210,"Palmitos",167575,333.47425,1504.8235,420.61325,0,304.9865,3.3347425,2.81526,2.61417,1.709265
3,421320,"Pomerode",111564,222.01236,1001.84472,280.02564,0,203.04648,2.2201236,1.8742752,1.7403984,1.1379528
3,421360,"Porto_Uniao",38019,75.65781,341.41062,95.42769,0,69.19458,0.7565781,0.6387192,0.5930964,0.3877938
3,421370,"Pouso_Redondo",103634,206.23166,930.63332,260.12134,0,188.61388,2.0623166,1.7410512,1.6166904,1.0570668
3,421420,"Quilombo",18662,37.13738,167.58476,46.84162,0,33.96484,0.3713738,0.3135216,0.2911272,0.1903524
3,421550,"Santa_Cecilia",206151,410.24049,1851.23598,517.439010000001,0,375.19482,4.1024049,3.4633368,3.2159556,2.1027402
3,421567,"Santa_Terezinha",79262,157.73138,711.77276,198.94762,0,144.25684,1.5773138,1.3316016,1.2364872,0.8084724
3,421570,"Santo_Amaro_Da_Imperatriz",39616,78.83584,355.75168,99.43616,0,72.10112,0.7883584,0.6655488,0.6180096,0.4040832
3,421580,"Sao_Bento_Do_Sul",208886,415.68314,1875.79628,524.30386,0,380.17252,4.1568314,3.5092848,3.2586216,2.1306372
3,421620,"Sao_Francisco_Do_Sul",106708,212.34892,958.23784,267.83708,0,194.20856,2.1234892,1.7926944,1.6646448,1.0884216
3,421660,"Sao_Jose",446645,888.82355,4010.8721,1121.07895,0,812.8939,8.8882355,7.503636,6.967662,4.555779
3,421690,"Sao_Lourenco_Do_Oeste",52609,104.69191,472.42882,132.04859,0,95.74838,1.0469191,0.8838312,0.8207004,0.5366118
3,421790,"Tangara",123076,244.92124,1105.22248,308.92076,0,223.99832,2.4492124,2.0676768,1.9199856,1.2553752
3,421870,"Tubarao",393387,782.84013,3532.61526,987.40137,0,715.96434,7.8284013,6.6089016,6.1368372,4.0125474
3,421880,"Turvo",33991,67.64209,305.23918,85.31741,0,61.86362,0.6764209,0.5710488,0.5302596,0.3467082
3,421890,"Urubici",46021,91.58179,413.26858,115.51271,0,83.75822,0.9158179,0.7731528,0.7179276,0.4694142
3,421950,"Xanxere",172060,342.3994,1545.0988,431.8706,0,313.1492,3.423994,2.890608,2.684136,1.755012
