NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
3	350190	Amparo	193180.00	384.43	1734.76	484.88	0.00	351.59	3.84	3.25	3.01	1.97
3	350220	Angatuba	54955.00	109.36	493.50	137.94	0.00	100.02	1.09	0.92	0.86	0.56
3	350270	Apiai	85208.00	169.56	765.17	213.87	0.00	155.08	1.70	1.43	1.33	0.87
3	350330	Araras	436475.00	868.59	3919.55	1095.55	0.00	794.38	8.69	7.33	6.81	4.45
3	350550	Barretos	552409.00	1099.29	4960.63	1386.55	0.00	1005.38	10.99	9.28	8.62	5.63
3	350570	Barueri	544501.00	1083.56	4889.62	1366.70	0.00	990.99	10.84	9.15	8.49	5.55
3	350600	Bauru	625577.00	1244.90	5617.68	1570.20	0.00	1138.55	12.45	10.51	9.76	6.38
3	350750	Botucatu	308386.00	613.69	2769.31	774.05	0.00	561.26	6.14	5.18	4.81	3.15
3	350850	Cacapava	1018677.00	2027.17	9147.72	2556.88	0.00	1853.99	20.27	17.11	15.89	10.39
3	350860	Cachoeira_Paulista	264878.00	527.11	2378.60	664.84	0.00	482.08	5.27	4.45	4.13	2.70
3	350925	Cajati	230684.00	459.06	2071.54	579.02	0.00	419.84	4.59	3.88	3.60	2.35
3	350940	Cajuru	38134.00	75.89	342.44	95.72	0.00	69.40	0.76	0.64	0.59	0.39
3	350950	Campinas	4210874.00	8379.64	37813.65	10569.29	0.00	7663.79	83.80	70.74	65.69	42.95
3	350970	Campos_Do_Jordao	55829.00	111.10	501.34	140.13	0.00	101.61	1.11	0.94	0.87	0.57
3	351080	Casa_Branca	1016486.00	2022.81	9128.04	2551.38	0.00	1850.00	20.23	17.08	15.86	10.37
3	351380	Diadema	1388851.00	2763.81	12471.88	3486.02	0.00	2527.71	27.64	23.33	21.67	14.17
3	351518	Espirito_Santo_Do_Pinhal	337215.00	671.06	3028.19	846.41	0.00	613.73	6.71	5.67	5.26	3.44
3	351570	Ferraz_De_Vasconcelos	207074.00	412.08	1859.52	519.76	0.00	376.87	4.12	3.48	3.23	2.11
3	351620	Franca	689967.00	1373.03	6195.90	1731.82	0.00	1255.74	13.73	11.59	10.76	7.04
3	351740	Guaira	61199.00	121.79	549.57	153.61	0.00	111.38	1.22	1.03	0.95	0.62
3	351880	Guarulhos	2687812.00	5348.75	24136.55	6746.41	0.00	4891.82	53.49	45.16	41.93	27.42
3	352010	Igarapava	61246.00	121.88	549.99	153.73	0.00	111.47	1.22	1.03	0.96	0.62
3	352040	Ilhabela	37030.00	73.69	332.53	92.95	0.00	67.39	0.74	0.62	0.58	0.38
3	352180	Itai	59071.00	117.55	530.46	148.27	0.00	107.51	1.18	0.99	0.92	0.60
3	352220	Itapecerica_Da_Serra	539261.00	1073.13	4842.56	1353.55	0.00	981.46	10.73	9.06	8.41	5.50
3	352250	Itapevi	1889300.00	3759.71	16965.91	4742.14	0.00	3438.53	37.60	31.74	29.47	19.27
3	352260	Itapira	152518.00	303.51	1369.61	382.82	0.00	277.58	3.04	2.56	2.38	1.56
3	352270	Itapolis	127570.00	253.86	1145.58	320.20	0.00	232.18	2.54	2.14	1.99	1.30
3	352310	Itaquaquecetuba	654190.00	1301.84	5874.63	1642.02	0.00	1190.63	13.02	10.99	10.21	6.67
3	352320	Itarare	217326.00	432.48	1951.59	545.49	0.00	395.53	4.32	3.65	3.39	2.22
3	352390	Itu	1158765.00	2305.94	10405.71	2908.50	0.00	2108.95	23.06	19.47	18.08	11.82
3	352480	Jales	170213.00	338.72	1528.51	427.23	0.00	309.79	3.39	2.86	2.66	1.74
3	352530	Jau	235429.00	468.50	2114.15	590.93	0.00	428.48	4.69	3.96	3.67	2.40
3	352710	Lins	132105.00	262.89	1186.30	331.58	0.00	240.43	2.63	2.22	2.06	1.35
3	352900	Marilia	399722.00	795.45	3589.50	1003.30	0.00	727.49	7.95	6.72	6.24	4.08
3	353060	Mogi_Das_Cruzes	551872.00	1098.23	4955.81	1385.20	0.00	1004.41	10.98	9.27	8.61	5.63
3	353440	Osasco	1191515.00	2371.11	10699.80	2990.70	0.00	2168.56	23.71	20.02	18.59	12.15
3	353550	Paraguacu_Paulista	223676.00	445.12	2008.61	561.43	0.00	407.09	4.45	3.76	3.49	2.28
3	353730	Penapolis	125372.00	249.49	1125.84	314.68	0.00	228.18	2.49	2.11	1.96	1.28
3	353890	Pirajui	1113444.00	2215.75	9998.73	2794.74	0.00	2026.47	22.16	18.71	17.37	11.36
3	354100	Praia_Grande	344214.00	684.99	3091.04	863.98	0.00	626.47	6.85	5.78	5.37	3.51
3	354140	Presidente_Prudente	342482.00	681.54	3075.49	859.63	0.00	623.32	6.82	5.75	5.34	3.49
3	354150	Presidente_Venceslau	279172.00	555.55	2506.96	700.72	0.00	508.09	5.56	4.69	4.36	2.85
3	354220	Rancharia	171388.00	341.06	1539.06	430.18	0.00	311.93	3.41	2.88	2.67	1.75
3	354340	Ribeirao_Preto	1485649.00	2956.44	13341.13	3728.98	0.00	2703.88	29.56	24.96	23.18	15.15
3	354640	Santa_Cruz_Do_Rio_Pardo	249197.00	495.90	2237.79	625.48	0.00	453.54	4.96	4.19	3.89	2.54
3	354750	Santa_Rita_Do_Passa_Quatro	645417.00	1284.38	5795.84	1620.00	0.00	1174.66	12.84	10.84	10.07	6.58
3	354780	Santo_Andre	772358.00	1536.99	6935.77	1938.62	0.00	1405.69	15.37	12.98	12.05	7.88
3	354850	Santos	637155.00	1267.94	5721.65	1599.26	0.00	1159.62	12.68	10.70	9.94	6.50
3	354870	Sao_Bernardo_Do_Campo	1071553.00	2132.39	9622.55	2689.60	0.00	1950.23	21.32	18.00	16.72	10.93
3	354890	Sao_Carlos	424131.00	844.02	3808.70	1064.57	0.00	771.92	8.44	7.13	6.62	4.33
3	354980	Sao_Jose_Do_Rio_Preto	985508.00	1961.16	8849.86	2473.63	0.00	1793.62	19.61	16.56	15.37	10.05
3	354990	Sao_Jose_Dos_Campos	924247.00	1839.25	8299.74	2319.86	0.00	1682.13	18.39	15.53	14.42	9.43
3	355020	Sao_Miguel_Arcanjo	115914.00	230.67	1040.91	290.94	0.00	210.96	2.31	1.95	1.81	1.18
3	355030	Sao_Paulo	13241722.00	26351.03	118910.66	33236.72	0.00	24099.93	263.51	222.46	206.57	135.07
3	355220	Sorocaba	1325326.00	2637.40	11901.43	3326.57	0.00	2412.09	26.37	22.27	20.68	13.52
3	355280	Taboao_Da_Serra	308001.00	612.92	2765.85	773.08	0.00	560.56	6.13	5.17	4.80	3.14
3	355370	Taquaritinga	514971.00	1024.79	4624.44	1292.58	0.00	937.25	10.25	8.65	8.03	5.25
3	355410	Taubate	394359.00	784.77	3541.34	989.84	0.00	717.73	7.85	6.63	6.15	4.02
3	355500	Tupa	405097.00	806.14	3637.77	1016.79	0.00	737.28	8.06	6.81	6.32	4.13
3	355540	Ubatuba	96796.00	192.62	869.23	242.96	0.00	176.17	1.93	1.63	1.51	0.99
3	355710	Votuporanga	333251.00	663.17	2992.59	836.46	0.00	606.52	6.63	5.60	5.20	3.40
