NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
3,170070,"Alvorada",12080,24.0392,108.4784,30.3208,0,21.9856,0.240392,0.202944,0.188448,0.123216
3,170100,"Ananas",30426,60.54774,273.22548,76.36926,0,55.37532,0.6054774,0.5111568,0.4746456,0.3103452
3,170190,"Araguacema",13278,26.42322,119.23644,33.32778,0,24.16596,0.2642322,0.2230704,0.2071368,0.1354356
3,170200,"Araguacu",12883,25.63717,115.68934,32.33633,0,23.44706,0.2563717,0.2164344,0.2009748,0.1314066
3,170210,"Araguaina",212257,422.39143,1906.06786,532.76507,0,386.30774,4.2239143,3.5659176,3.3112092,2.1650214
3,170220,"Araguatins",38122,75.86278,342.33556,95.68622,0,69.38204,0.7586278,0.6404496,0.5947032,0.3888444
3,170230,"Arapoema",21012,41.81388,188.68776,52.74012,0,38.24184,0.4181388,0.3530016,0.3277872,0.2143224
3,170240,"Arraias",21213,42.21387,190.49274,53.24463,0,38.60766,0.4221387,0.3563784,0.3309228,0.2163726
3,170255,"Augustinopolis",110122,219.14278,988.89556,276.40622,0,200.42204,2.1914278,1.8500496,1.7179032,1.1232444
3,170550,"Colinas_Do_Tocantins",56762,112.95638,509.72276,142.47262,0,103.30684,1.1295638,0.9536016,0.8854872,0.5789724
3,170700,"Dianopolis",39771,79.14429,357.14358,99.82521,0,72.38322,0.7914429,0.6681528,0.6204276,0.4056642
3,170710,"Divinopolis_Do_Tocantins",23430.9999999999,46.6276899999999,210.410379999999,58.8118099999999,0,42.6444199999999,0.4662769,0.3936408,0.3655236,0.2389962
3,170770,"Filadelfia",21030,41.8497,188.8494,52.7853,0,38.2746,0.418497,0.353304,0.328068,0.214506
3,170820,"Formoso_Do_Araguaia",19934,39.66866,179.00732,50.03434,0,36.27988,0.3966866,0.3348912,0.3109704,0.2033268
3,170900,"Goiatins",29561,58.82639,265.45778,74.19811,0,53.80102,0.5882639,0.4966248,0.4611516,0.3015222
3,170930,"Guarai",68098,135.51502,611.52004,170.92598,0,123.93836,1.3551502,1.1440464,1.0623288,0.6945996
3,170950,"Gurupi",115588,230.02012,1037.98024,290.12588,0,210.37016,2.3002012,1.9418784,1.8031728,1.1789976
3,171050,"Itacaja",14867,29.58533,133.50566,37.31617,0,27.05794,0.2958533,0.2497656,0.2319252,0.1516434
3,171190,"Lagoa_Da_Confusao",34341,68.33859,308.38218,86.19591,0,62.50062,0.6833859,0.5769288,0.5357196,0.3502782
3,171320,"Miracema_Do_Tocantins",54940,109.3306,493.3612,137.8994,0,99.9908,1.093306,0.922992,0.857064,0.560388
3,171420,"Natividade",24640,49.0336,221.2672,61.8464,0,44.8448,0.490336,0.413952,0.384384,0.251328
3,171575,"Palmeiropolis",15671,31.18529,140.72558,39.33421,0,28.52122,0.3118529,0.2632728,0.2444676,0.1598442
3,171620,"Parana",11283,22.45317,101.32134,28.32033,0,20.53506,0.2245317,0.1895544,0.1760148,0.1150866
3,171650,"Pedro_Afonso",32915,65.50085,295.5767,82.61665,0,59.9053,0.6550085,0.552972,0.513474,0.335733
3,171660,"Peixe",14635,29.12365,131.4223,36.73385,0,26.6357,0.2912365,0.245868,0.228306,0.149277
3,171790,"Ponte_Alta_Do_Tocantins",33610,66.8839,301.8178,84.3611,0,61.1702,0.668839,0.564648,0.524316,0.342822
3,171820,"Porto_Nacional",84307,167.77093,757.07686,211.61057,0,153.43874,1.6777093,1.4163576,1.3151892,0.8599314
3,171875,"Rio_Sono",82268,163.71332,738.76664,206.49268,0,149.72776,1.6371332,1.3821024,1.2833808,0.8391336
3,172090,"Taguatinga",26823,53.37777,240.87054,67.32573,0,48.81786,0.5337777,0.4506264,0.4184388,0.2735946
3,172100,"Palmas",314780,626.4122,2826.7244,790.0978,0,572.8996,6.264122,5.288304,4.910568,3.210756
3,172120,"Tocantinopolis",52356,104.18844,470.15688,131.41356,0,95.28792,1.0418844,0.8795808,0.8167536,0.5340312
3,172210,"Xambioa",34382,68.42018,308.75036,86.29882,0,62.57524,0.6842018,0.5776176,0.5363592,0.3506964
