# Duracoes outliers (longas, porem reais)
# ORIGEM	DESTINO	DISTÂNCIA (km)	DURACAO (s)
param: K_out: dist_out dur_out :=
# 110003	110020	827.44	49764
# 110005	110020	820.86	49374
# 110006	110020	783.47	47298
# 110007	110020	762.87	51462
# 110146	110020	872.48	53658
# 130006	130260	1253.51	835020
# 130020	130260	2500.00	6300
# 130060	130260	2500.00	6300
# 130100	130260	2000.00	7200
# 130160	130260	886.48	568710
# 130195	130260	2500.00	25200
# 130210	130260	1009.49	660072
# 130220	130260	892.46	569580
# 130230	130260	1009.45	660066
# 130280	130260	896.50	570156
# 130330	110020	889.83	66996
# 130360	130260	900.00	79200
# 130370	130260	1198.56	796320
# 130380	130260	2500.00	6300
# 130390	130260	1342.98	899424
# 130406	130260	2500.00	6300
# 130410	130260	758.70	479112
# 130420	130260	900.00	3900
# 130423	130260	1164.90	771678
# 150375	150680	757.17	58062
# 150730	172100	782.81	43932
# 510025	510340	785.83	40092
# 510080	510340	957.73	52458
# 510140	110020	767.27	64128
# 510185	172100	783.06	49026
# 510279	510340	750.95	38004
# 510285	510340	784.08	43146
# 510337	110020	817.00	66426
# 510517	110020	881.41	70848
# 510530	172100	840.09	54462
# 510615	110020	933.20	82200
# 510626	510340	762.13	42426
# 510629	510340	833.73	42768
# 510706	510340	757.98	52374
# 510718	520870	763.26	41292
# 510785	530010	806.66	68388
# 510788	172100	786.70	49644
# 510895	510340	939.30	51294

# 150797  150680  300.00  36000
# 150390  150680  205.00  21600
# 150300  150680  235.00  21600
# 150180  150680  500.00  43200
# 150110  150680  550.00  43200

# # Distancias circulares ajustadas
# 130020	110020	1198.37		102718
# 130020	120040	947.48		81213
# 130020	140010	1856.30		159112
# 130020	150080	3424.08		293493
# 130020	150140	3403.59		291737
# 130020	150680	2422.57		207649
# 130020	160030	3053.32		261713
# 130020	172100	3489.19		299074
# 130020	211130	4032.95		345682
# 130020	221100	4248.98		364198
# 130020	230370	4896.72		419719
# 130020	230440	4907.71		420661
# 130020	240810	5421.46		464697
# 130020	250400	5330.93		456937
# 130020	250750	5486.24		470249
# 130020	260410	5327.64		456656
# 130020	260790	5487.61		470367
# 130020	260960	5494.94		470996
# 130020	261070	5491.36		470689
# 130020	261110	4652.66		398800
# 130020	261160	5491.05		470662
# 130020	270430	5389.02		461917
# 130020	280030	5209.41		446521
# 130020	291080	4958.76		425037
# 130020	292740	5054.00		433200
# 130020	293330	4783.42		410008
# 130020	310620	4660.50		399472
# 130020	310670	4627.83		396671
# 130020	311860	4642.40		397921
# 130020	313670	4871.33		417543
# 130020	314330	4454.49		381814
