unit,wstatus,isco08,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
HAB_P,LIC,OC221,BE	159.19 	163.86 	167.18 	171.68 	178.81 	183.06 	187.47 	190.66 	194.52 	199.53 	203.44 	205.99 	207.93 	210.65 	213.23 	216.10 	218.17 b	226.59 	228.67 	240.42 	244.71 	248.03 	253.81 	260.02 	263.15 	264.71 	268.23 	274.72 	278.75 	285.38 	291.89 	298.05 	305.11 	312.18 	318.99 	328.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC221,CY	: 	: 	225.05 d	237.20 d	249.21 d	256.11 d	268.93 d	285.31 bd	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC221,CZ	186.19 	189.01 	242.58 	241.86 	244.77 	247.56 	251.74 	252.58 	249.31 	252.77 	248.92 	214.51 	243.54 	239.94 	235.83 	232.36 	233.09 	232.77 	232.86 	232.96 	233.42 	234.32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC221,DE	152.30 	155.54 	158.72 	161.47 	164.05 	166.65 	168.86 	169.01 	172.16 	175.95 	179.38 	185.28 	191.31 	195.54 	199.68 	203.24 	206.71 	210.02 	213.41 	217.12 	220.26 	223.40 	226.71 	230.14 	234.59 	239.20 	244.31 	249.99 	256.16 	262.50 	269.39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC221,DK	: 	: 	149.86 	153.56 	157.53 	161.44 	165.08 	168.10 	170.87 	173.69 	176.93 	180.95 	185.43 	190.04 	194.37 	199.77 	205.80 	212.23 	219.02 	225.01 	230.37 	233.86 	236.80 	240.50 	243.60 	246.27 	248.76 	250.54 	252.83 	255.05 b	258.15 	262.36 	267.17 	272.64 	277.84 	284.54 	291.54 	299.07 	310.52 	323.91 	337.57 	353.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC221,EE	188.37 p	190.69 	192.81 	194.81 	197.69 	201.34 	204.89 	209.02 	214.00 	219.79 	225.60 	231.00 	236.87 	242.01 	247.40 	252.40 	260.58 	: d	: d	: d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC221,EL	: 	161.42 	162.31 	163.83 	164.85 	163.34 	169.43 	170.44 	172.04 	173.02 	173.12 	173.68 	172.67 	175.16 	177.61 	184.91 	197.77 	203.09 	209.25 	216.54 	226.56 	228.69 	233.32 	239.55 	247.76 	255.57 	256.36 	259.66 	260.75 	268.45 	277.13 	296.97 	304.35 	312.24 	300.41 	327.00 	341.35 	350.77 	356.67 	377.84 	393.52 	410.86 	427.46 	442.31 	454.43 	475.09 	491.10 	499.50 	525.74 	579.03 	593.36 	616.48 	639.79 	664.24 	676.38 	695.60 	708.28 	710.39 	752.74 	787.86 	805.72 	799.28 
HAB_P,LIC,OC221,ES	: 	171.49 	175.88 	179.59 	183.59 	187.47 	191.26 	195.10 	200.24 	204.32 	206.44 	208.41 	211.67 	214.76 	217.33 	218.61 	219.23 	220.49 	221.27 	222.86 	226.42 	226.59 	230.89 	234.55 	238.10 	240.94 	244.23 	244.00 	247.10 	250.85 	254.17 	261.35 	270.01 	278.91 	285.69 	294.36 	302.45 	315.83 	331.20 	362.60 	391.00 	434.67 	455.45 	491.00 	528.54 	559.43 	: 	648.66 	678.16 	702.54 	721.75 	745.87 	758.27 	779.87 	779.43 	790.48 	804.71 	809.16 	829.20 	830.08 	840.74 	853.44 
HAB_P,LIC,OC221,FI	: 	231.21 	232.80 	235.01 	236.14 	237.92 	240.60 	243.39 	246.61 	250.38 	254.19 b	264.13 	273.79 	277.98 	280.67 	284.56 b	244.43 	250.97 	257.64 	261.94 	267.55 	272.95 	277.27 	283.10 	290.81 	299.37 	306.24 	311.27 	319.15 	327.15 	334.99 	345.08 	356.18 	365.40 	377.10 	388.73 	401.26 	: 	: 	: 	: 	509.76 	: 	: 	: 	: 	: 	: 	: 	: 	: 	864.87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC221,HR	: 	224.13 	218.54 	233.34 	242.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
