unit,facility,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
HAB_P,HBEDI_PSY,AL	: 	: 	: 	: 	: 	: 	: 	3886.02 	3893.14 	4198.24 	4209.56 	4230.51 	: 	4085.30 	3764.20 	3788.03 	3807.46 	3823.41 	3352.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2687.71 	2468.45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,AT	: 	1455.96 	1375.74 	1336.00 	1339.36 	1339.95 	1342.92 	1342.17 	1355.74 	1403.05 	1399.73 	1346.57 	1346.08 	1317.79 	1411.75 	1468.21 	1499.99 	1509.56 	1467.85 	1510.86 	1475.43 	1883.21 	1761.27 	1677.13 	1589.26 	1452.01 	1356.60 	1294.31 	1257.13 	1177.84 	1151.62 	1126.82 	1089.53 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,BE	: 	709.63 	739.52 	734.88 	722.16 	712.74 	714.36 	709.03 	696.27 	689.37 	680.77 	675.16 	668.25 	666.02 	662.39 b	656.27 	659.02 	661.66 	659.19 	654.03 	631.58 	624.09 	622.78 	626.81 	633.96 	619.34 	610.88 	596.22 	584.80 	575.63 	569.17 	591.56 	602.91 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	363.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,BG	: 	1750.07 	1759.34 	1723.74 	1778.84 	1456.28 	1497.81 	1516.09 	1566.11 	1592.62 	1513.01 	1437.43 	1463.39 	1468.54 	1475.93 	1460.24 b	1536.92 	1548.25 	1522.07 	1427.40 	1564.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,CH	: 	1080.83 	1074.50 	1068.64 	1079.46 	1077.45 	1084.59 	1042.98 	1027.74 	1029.86 	985.64 	1017.32 	996.44 	981.43 	990.20 	945.36 	938.96 	931.23 	907.31 	886.88 	836.55 	832.54 	836.37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,CY	: 	6484.94 	5613.34 	4722.63 	4578.28 	4557.33 	4583.35 	4634.08 	4363.36 	4675.17 	4388.60 	3922.50 	3818.60 	3723.91 	3645.46 	3183.36 	3178.95 	3096.15 	2667.78 	2637.38 	1977.27 	1826.28 	1805.95 	1644.03 	1148.13 	1043.05 	1024.31 	940.07 	869.35 	798.80 	690.35 	675.80 	667.03 	660.00 	652.86 	643.11 	614.19 	606.28 	604.77 	597.66 	554.52 	560.75 	556.40 	551.88 	591.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,CZ	: 	1081.35 	1078.20 	1066.48 	1048.87 	1046.65 	1052.75 	1046.51 	1020.46 	1007.59 	986.38 	962.57 	949.58 	932.36 	915.66 	903.89 	890.42 	886.90 	879.73 	873.74 	883.37 b	886.16 	882.73 	876.35 	877.74 	874.15 	: 	: 	: 	: 	712.15 	: 	: 	: 	: 	676.96 	: 	: 	: 	: 	676.84 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,DE	: 	765.70 	771.16 	778.49 	784.08 	785.51 	786.88 	791.81 	798.87 	813.17 	840.15 	871.47 	887.32 	908.28 	921.93 	934.14 	936.45 	938.26 	945.83 	930.57 	930.57 	928.46 	923.81 	917.21 	900.66 	870.37 	861.32 	851.57 	786.95 	724.51 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,DK	: 	1936.85 	2074.34 	2139.93 	2517.81 	: 	: 	1859.25 	: 	1877.51 b	1753.38 	1730.84 	1710.34 	1629.79 	1588.92 	1530.48 	1481.91 	1402.70 	1355.85 	1329.39 	1320.38 	1267.70 	1269.86 	1254.15 	1250.43 	1244.86 	1222.39 	1220.28 	1192.11 	1089.24 	1047.89 	986.66 	909.65 	870.02 b	585.67 	573.61 	560.67 	543.78 	585.29 	571.29 	547.80 	535.96 	529.05 	505.30 	477.65 	475.19 	472.72 	465.33 	459.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,EE	: 	1974.55 	1938.38 	1951.68 	1960.94 	1911.93 	1906.30 	1910.14 	1857.72 	1851.38 	1870.05 	1850.92 	1797.16 	1806.85 	1812.66 	1873.82 	2000.81 	1791.79 	1563.89 	1487.80 	1289.92 	1232.49 	1122.39 	1028.31 	1001.84 	940.82 	922.72 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
