owner,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
PRV_NP,HAB_P,AT	: 	870.45 	844.90 	828.15 	822.43 	781.11 	770.09 	758.80 	749.23 	738.37 	732.89 	726.05 	725.95 	721.98 	724.43 	737.09 	735.81 	729.44 	728.38 	714.52 	709.70 	692.74 	683.75 	678.88 	677.04 	676.04 	672.56 	663.72 	651.74 	639.69 	629.35 	618.13 	611.42 	606.00 	605.77 	602.59 	609.54 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,HAB_P,BE	247.41 	245.01 	243.29 b	240.00 	238.08 	234.34 	232.20 	233.60 	231.67 	229.27 	226.90 	225.18 	228.77 	226.89 	226.67 	225.13 	223.27 	225.29 	235.60 	235.94 	237.15 	232.59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,HAB_P,CZ	: 	44574.41 	44466.12 	42015.52 	41875.25 	41764.16 	41684.03 	41602.16 	41558.39 	39366.24 	41323.18 	33679.77 b	22460.08 	22332.48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,HAB_P,DE	: 	451.53 	438.30 	435.29 	432.51 	425.89 	422.62 	415.18 	408.81 	405.35 	403.57 	403.70 	405.21 	401.00 	401.49 	396.38 	388.71 	379.06 	364.69 	356.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,HAB_P,DK	9225.98 	9226.91 	9258.63 	9466.72 	8965.75 	9063.31 	8677.07 	9221.36 	9850.76 	9896.59 	9983.10 	11854.02 	12006.73 	12317.54 	9042.12 	8671.88 	9643.12 	11377.94 	12086.49 	11789.32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,HAB_P,EE	: 	8752.61 	8845.99 	8938.31 	8672.71 	8969.25 	8563.85 	8340.80 	8636.94 b	2603.73 	3269.55 	3541.16 	3597.08 	3575.11 	4014.01 	4504.38 	4531.02 	6646.59 	9199.46 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,HAB_P,EL	: 	: 	13027.44 	12962.42 	12029.84 	11986.62 	12282.50 	12321.73 	11867.11 	8431.31 	8451.22 	8129.63 b	7581.58 	6936.66 	6875.22 	7037.27 	7007.22 	7076.96 	7695.82 	9246.84 	10325.22 	17179.34 	36729.34 	36588.77 	36386.55 	37354.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,HAB_P,ES	: 	2740.78 p	2689.58 	2689.37 	2756.51 	2750.70 	2772.16 	2699.55 	2703.71 	2708.18 	2535.40 	2445.37 b	2346.66 	2322.91 	2291.94 	2086.83 	2046.08 	2049.66 	1934.06 	1858.08 	1824.33 	1782.81 	1766.16 	1782.25 	1746.18 	1743.67 	1975.24 	1747.80 	1672.95 	1632.11 	1526.24 	1580.23 	1510.34 	1496.91 	1489.37 	1475.34 	1463.72 	: 	: 	: 	: 	1415.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,HAB_P,FR	: 	1211.32 	1192.67 	1192.50 	1184.77 	1170.72 	1159.70 	1159.79 	1131.22 	1125.59 	1122.95 	1102.02 	1076.62 	1044.71 	1025.24 	1008.17 	983.70 	963.80 	931.39 	914.75 	893.39 	862.13 	820.63 	797.69 	774.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,HAB_P,HR	: 	28909.00 	29051.47 	29220.50 	29498.95 	29803.15 	30057.09 	30257.59 	30389.10 	29853.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
