isco08,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
HOSP,FTE,AT	: 	144400.34 	143156.94 	141704.22 	140592.65 	139702.60 	138958.00 	136931.00 	135829.00 	135061.00 	134130.00 	132737.08 	131934.00 	129874.68 	127479.00 e	126130.00 e	125561.40 e	124475.00 e	123565.64 e	122502.60 e	121166.03 e	120943.11 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE,BE	: 	: 	148935.32 e	152735.29 e	149036.47 e	149044.33 e	147380.48 e	146475.33 e	146152.98 e	146171.23 e	143458.63 e	140507.19 e	138376.64 e	135392.88 e	134290.89 e	131218.26 e	128441.00 	129269.00 	127060.00 	122843.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE,CH	: 	174592.58 	170927.84 	168372.17 	165463.10 	161945.41 	157664.36 	152435.20 	148362.81 	144065.66 	141311.37 	139251.93 b	137504.00 e	133026.00 e	130990.20 e	128231.00 e	125703.10 e	123385.30 e	123475.40 e	119983.90 e	116548.80 e	115089.80 e	112654.00 e	111947.00 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE,CZ	: 	151142.41 	149452.57 	146598.44 	144836.12 	141187.44 b	138825.42 	134770.65 e	134002.90 	134949.51 	134386.54 	135264.65 	134217.36 	130333.59 	129514.91 	129229.12 	129819.55 	129174.36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE,DE	: 	1076000.00 	1049000.00 	1023000.00 	1003000.00 	988000.00 	978000.00 	968000.00 	959000.00 	946000.00 	934000.00 	926000.00 	918000.00 	907000.00 	901000.00 	900000.00 	905000.00 	917000.00 	939000.00 	951000.00 	951000.00 	951000.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE,DK	115555.00 	109059.00 	106574.00 	105459.00 	104382.00 	103644.00 b	106525.00 	107078.00 	105861.00 	103270.00 	102578.00 	103805.00 	102248.00 	95595.00 	95144.00 	94898.00 	92961.00 	92647.00 	91426.00 	91876.00 	90212.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE,EE	: 	13534.83 	13198.29 	12854.40 	12875.90 	12790.20 	13055.20 	12985.40 	12756.60 b	18256.12 	17582.30 	17435.92 	17575.30 	17907.15 	17633.34 	17215.73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE,FR	: 	: 	1180115.12 	1176945.99 	1169711.72 	1164679.41 	1158639.44 	1155583.20 	1147732.18 b	1150444.67 	1130915.69 b	1216111.85 	1201836.71 	1189914.77 	1177249.35 	1164188.38 	1148167.39 	1134955.81 	1109700.34 	1110096.35 	1046249.10 	1014505.47 b	1027536.50 	1018441.82 	1008490.79 	1023542.73 	1001950.90 	976736.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE,HU	: 	98743.74 	97966.61 	100795.43 	100372.68 	99556.29 	99873.85 	100064.07 	102494.73 	94745.35 	99930.78 	94827.99 	87451.98 	91468.56 	87948.07 	100590.47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE,IE	70129.44 	64449.38 	62080.01 	58473.98 	56259.70 	54143.78 	52541.96 	49746.65 	47934.93 	48288.88 	49194.21 	49763.82 	50998.04 	51739.80 	52443.07 	49942.68 	47849.75 	45829.03 	44405.63 	43971.75 	41378.54 	37341.06 	34188.72 	32737.23 	32328.51 	31447.16 	31419.08 	30881.06 	29770.79 	29018.88 	28312.92 	27863.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
