facility,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
DAY,NR,BE	: 	11794.00 	: 	: 	: 	: 	: 	: 	: 	: 	6213.00 	5960.00 	4589.00 	5936.00 	5651.00 	5458.00 	5782.00 	: 	: 	: 	: 	: 
DAY,NR,BG	: 	2575 d	2515 d	2339 d	2187 d	1813 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1497.00 	1412.00 	1421.00 	1367.00 	1357.00 	1373.00 	1118.00 	1028.00 	1023.00 
DAY,NR,CY	: 	: 	475.00 	441.00 	432.00 	404.00 	371 b	232 d	212 d	205 d	193 d	208 d	166 d	146 d	: 	: 	: 	: 	: 	: 	: 	: 
DAY,NR,DE	: 	31699.00 	29591.00 	28224.00 	30698.00 	29325.00 	28456.00 	27444.00 	26341.00 	25400.00 	23832.00 	23615.00 	22393.00 	21271.00 	20691.00 	20558.00 	19964.00 	20243.00 	18906.00 	17192.00 	13153.00 	12099.00 
DAY,NR,EE	: 	382.00 	362.00 	349.00 	355.00 	356.00 	423.00 	420.00 	397.00 	382.00 	385.00 	349.00 	358.00 	359.00 	333.00 	295.00 	306.00 	222.00 	279.00 	219.00 	224.00 	221.00 
DAY,NR,EL	: 	: 	3686.00 	4253.00 	3957.00 	3614.00 	3814.00 	3548.00 	3022.00 	2993.00 	2674.00 	2578.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,NR,ES	: 	20318 p	19923.00 	19483.00 	18620.00 	18381.00 	18039.00 	17159.00 	16841.00 	16537.00 	15458.00 	14320 b	11882.00 	10973.00 	10468.00 	9329.00 	8814.00 	8100.00 	7317.00 	6662.00 	5804.00 	5575.00 
DAY,NR,FR	: 	79997.00 	78771.00 	77297.00 	75452.00 	74646.00 	72789.00 	72536.00 	71942 b	68493.00 	65595.00 	63385.00 	60983.00 	58939.00 	56056.00 	53499.00 	51984.00 	50885.00 	49602.00 	48948.00 	47816.00 	46906.00 
DAY,NR,HR	: 	3936.00 	3897.00 	3911.00 	3765.00 	3758.00 	3418.00 	2963.00 	2669.00 	2300.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,NR,IE	: 	2900.00 	2836.00 	2880 b	2170.00 	2140.00 	2026.00 	2006.00 	2021.00 	2049.00 	1936.00 	1857.00 	1772.00 	1737.00 	1545.00 	1418.00 	1251.00 	1132.00 	909.00 	812.00 	771.00 	721.00 
DAY,NR,IT	: 	12404.00 	13452.00 	13661.00 	14074.00 	15323.00 	15728.00 	16703.00 	17594.00 	18756.00 	22114.00 	22765.00 	24151.00 	24420.00 	25980 b	31721.00 	33222.00 	30367.00 	31008.00 	29565.00 	26249.00 	26515.00 
DAY,NR,LI	15.00 	15.00 	17.00 	17.00 	17.00 	14.00 	14.00 	14.00 	14.00 	7.00 	7.00 	7.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,NR,LT	237 e	177 e	236 e	209 e	210 e	213 e	239 e	219 e	259 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,NR,LU	509.00 	509.00 	509.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,NR,LV	: 	1709.00 	1746.00 	1748.00 	1709.00 	1658.00 	1699.00 	1643.00 	1561.00 	1515.00 	1400.00 	1323.00 	1110.00 	664.00 	509.00 	549.00 	667.00 	623.00 	661.00 	736.00 	: 	: 
DAY,NR,MK	: 	321.00 	225.00 	304.00 	293.00 	152.00 	151.00 	151.00 	150.00 	151.00 	: 	148.00 	151.00 	166.00 	270.00 	256.00 	459.00 	436.00 	435.00 	465.00 	460.00 	415.00 
DAY,NR,MT	: 	178.00 	224.00 	224.00 	224.00 	195.00 	183.00 	171.00 	162.00 	149.00 	149.00 	149 e	141 e	: 	: 	147.00 	147.00 	: 	: 	: 	: 	: 
DAY,NR,NL	: 	5867 p	5584.00 	6071.00 	5126.00 	5381.00 	4799.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,NR,PL	: 	6777.00 	6977.00 	6679.00 	6865.00 	7261.00 	6463.00 	6476.00 	7570.00 	8415 d	7489.00 	7585.00 	7802.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,NR,PT	: 	2475.00 	2391.00 	1989.00 	2052.00 	1960.00 	1933.00 	1957.00 	1845.00 	1697.00 	1376.00 	841.00 	709.00 	774.00 	702.00 	791.00 	802.00 	766.00 	619.00 	523.00 	554.00 	506.00 
DAY,NR,RO	: 	9591.00 	9820.00 	9507 b	8072.00 	7945.00 	7764.00 	7185.00 	6603.00 	6177.00 	5749.00 	5733.00 	4883.00 	4421.00 	4402.00 	3679.00 	: 	: 	: 	: 	: 	: 
DAY,NR,RS	: 	3950.00 	3689.00 	3032.00 	3072.00 	3013.00 	2902.00 	2900.00 	3009.00 	2903.00 	2747.00 	2582.00 	2427.00 	2321.00 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,NR,SK	: 	5107.00 	5157.00 	5310.00 	5116.00 	5046.00 	5037.00 	5316.00 	4483.00 	4228.00 	4005.00 	3373.00 	3111.00 	1994.00 	1658.00 	1434.00 	1500.00 	1918.00 	1893.00 	: 	: 	: 
DAY,NR,UK	: 	: 	: 	: 	: 	15047.00 e	14640.00 e	14952.00 e	14344.00 e	14193.00 e	13960.00 e	13186.00 e	13384.00 e	13076.00 e	12544.00 e	12343.00 e	11611.00 e	10940.00 e	10527.00 e	10210.00 e	9606.00 e	9754.00 e
DAY,P_HTHAB,AT	: 	: 	: 	: 	: 	: 	: 	: 	: d	: d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,P_HTHAB,BE	: 	102.16 	: 	: 	: 	: 	: 	: 	: 	: 	56.29 	54.58 	42.50 	55.42 	53.18 	51.74 	55.18 	: 	: 	: 	: 	: 
DAY,P_HTHAB,BG	: 	37.14 d	36.05 d	33.30 d	30.91 d	25.44 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,P_HTHAB,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b	19.57 	18.70 	18.99 	18.38 	18.36 	18.71 	15.35 	14.22 	14.24 
DAY,P_HTHAB,CY	: 	: 	53.86 	50.69 	50.26 	47.44 	43.77 b	27.21 d	24.60 d	23.73 d	22.68 d	25.08 d	20.54 d	18.56 d	: 	: 	: 	: 	: 	: 	: 	: 
DAY,P_HTHAB,DE	: 	38.12 	35.61 	34.04 	37.14 	35.61 	34.84 	33.89 	32.66 	31.58 	29.69 	29.15 	27.34 	25.91 	25.15 	24.96 	24.21 	24.53 	22.91 	20.84 	15.97 	14.72 
DAY,P_HTHAB,EE	: 	28.73 	27.28 	26.40 	26.95 	27.06 	32.16 	31.93 	30.12 	28.88 	29.00 	26.21 	26.83 	26.85 	24.84 	21.90 	22.59 	16.29 	20.35 	15.88 	16.14 	15.82 
DAY,P_HTHAB,EL	: 	: 	34.38 	39.63 	36.79 	33.54 	35.25 	32.57 	27.56 	27.10 	24.08 	23.18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,P_HTHAB,ES	: 	42.90 p	42.27 	41.63 	39.96 	39.54 	38.84 	36.92 	36.12 	35.36 	33.07 	30.74 b	25.63 	23.88 	23.15 	21.01 	20.19 	18.87 	17.34 	16.08 	14.21 	13.74 
DAY,P_HTHAB,FR	: 	118.73 	117.13 	115.19 	112.75 	111.87 	109.38 	109.39 	109.20 b	104.67 	100.72 	97.79 	94.54 	91.84 	87.83 	84.33 	82.51 	81.37 	79.90 	79.40 	78.13 	77.20 
DAY,P_HTHAB,HR	: 	97.25 	95.82 	95.60 	91.17 	90.07 	81.23 	69.95 	62.73 	53.88 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,P_HTHAB,IE	: 	58.17 	57.47 	59.17 b	45.14 	45.00 	43.09 	43.07 	43.71 	44.55 	42.27 	40.72 	39.07 	38.69 	35.12 	33.18 	30.07 	27.81 	22.74 	20.65 	19.94 	18.95 
DAY,P_HTHAB,IT	: 	20.86 	22.52 	22.71 	23.25 	25.27 	25.90 	27.48 	29.21 	31.50 	37.24 	38.40 	40.87 	41.51 	44.46 b	54.56 	57.31 	52.64 	54.10 	51.81 	46.07 	46.56 
DAY,P_HTHAB,LI	38.41 	38.56 	44.08 	44.45 	44.78 	37.12 	37.34 	37.59 	37.85 	19.10 	19.28 	19.43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,P_HTHAB,LT	8.48 e	6.33 e	8.45 e	7.46 e	7.42 e	7.43 e	8.23 e	7.47 e	8.76 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,P_HTHAB,LU	80.19 	80.74 	82.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,P_HTHAB,LV	: 	89.93 	91.23 	90.70 	87.99 	84.61 	85.92 	82.41 	77.56 	74.47 	67.97 	63.07 	51.83 	30.50 	23.13 	24.75 	29.79 	27.53 	28.89 	31.86 	: 	: 
DAY,P_HTHAB,MK	: 	15.49 	10.83 	14.64 	14.12 	7.33 	7.29 	7.30 	7.27 	7.33 	: 	7.20 	7.36 	8.11 	13.21 	12.55 	22.53 	21.45 	21.46 	22.89 	22.61 	20.48 
