unit,wstatus,isco08,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
HAB_P,LIC,OC2221,AT	: 	86.87 	89.68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221,CY	: 	: 	184.09 	184.73 	186.73 	191.58 	192.30 	203.56 	209.87 	214.80 	212.35 	219.37 	223.52 	227.02 	225.62 	236.38 	251.72 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221,DK	: 	: 	53.20 	53.81 	54.40 	54.86 	55.32 	55.83 	56.55 	57.24 	57.81 	58.54 	59.34 	60.24 	61.13 	61.99 	62.83 	63.66 	64.67 	65.73 	66.79 	67.95 	69.22 	70.60 	72.07 	73.40 	74.86 	76.63 	78.45 	80.41 	82.20 	84.30 	86.69 	89.24 	92.13 	95.11 	98.26 	101.77 	105.48 	109.19 	112.97 	117.08 
HAB_P,LIC,OC2221,EE	89.54 p	92.10 	94.22 	95.86 	97.54 	99.90 	102.40 	105.05 	107.96 	111.56 	115.00 	118.16 	121.02 	124.07 	127.19 	131.22 	135.61 	: d	: d	: d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221,ES	: 	150.16 	153.78 	156.76 	160.22 	164.54 	168.85 	175.05 	181.20 	182.27 	179.37 	182.41 	186.88 	189.26 	191.69 	192.88 	194.68 	196.18 	197.13 	200.33 	202.14 	204.84 	211.45 	216.01 	227.88 	233.66 	239.22 	244.35 	243.45 	247.10 	251.34 	255.41 	257.16 	264.92 	270.60 	272.95 	280.18 	280.25 	284.01 	287.77 	299.95 	309.53 
HAB_P,LIC,OC2221,HU	99.61 p	100.13 	102.08 	104.55 	107.44 	112.78 	113.85 	117.76 	120.84 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221,IE	60.90 d	61.84 d	63.99 d	65.58 d	67.75 d	70.39 d	72.11 d	71.89 d	69.63 d	68.76 d	68.23 d	67.64 d	66.23 d	65.43 d	65.42 d	65.34 d	66.41 d	66.97 d	67.76 d	65.44 d	67.76 d	71.70 d	73.71 d	76.43 d	77.91 d	81.15 d	84.05 d	87.08 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221,IS	: 	64.28 	65.01 	65.63 	65.86 	66.11 b	66.28 	67.27 	68.33 	69.75 	70.55 	72.12 	74.40 	75.88 	79.42 	80.97 	81.79 	82.48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221,IT	130.21 	130.86 	132.86 	133.73 	136.05 	139.93 	141.76 	145.05 	145.39 	147.49 	150.85 	158.11 	158.42 	161.46 	164.86 	165.65 	172.63 	173.96 	176.36 	178.68 	180.79 	182.48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221,LI	125.98 	127.54 	121.27 b	130.09 	131.36 b	136.16 	133.91 	148.40 be	155.39 be	184.20 be	374.35 be	379.17 b	605.79 	521.65 	489.75 	507.78 	511.07 	583.85 	516.34 	526.47 	626.30 	725.43 b	870.82 	791.69 	844.09 	969.78 	932.61 	896.16 	970.61 	1058.11 	973.63 	845.35 	1011.30 	873.36 	787.33 	680.94 	839.94 	805.94 	944.50 	972.41 	987.40 	1159.64 
HAB_P,LIC,OC2221,LT	108.63 p	106.21 	107.20 	107.43 	105.10 	103.38 b	101.57 	103.31 	104.62 	107.97 	111.90 b	: 	: 	: 	: 	108.47 	112.89 	119.69 	128.48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221,LU	: 	: 	: 	: 	41.21 	42.15 	41.92 	42.24 	43.82 	44.78 	46.79 	47.61 	49.09 	47.95 	50.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221,NO	35.41 	36.18 	36.82 	38.08 	38.26 	38.89 	39.38 b	39.92 	40.54 	41.08 	41.61 	41.86 	42.16 	42.94 	44.00 	45.36 	45.96 	47.33 	48.33 	49.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221,PL	: 	: 	: 	: 	130.11 	131.64 	133.08 	134.57 	135.87 	133.40 	134.75 	134.70 	136.87 	138.58 	139.76 	138.60 	139.39 	142.04 	144.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221,RO	: 	1131.46 	1224.27 e	1305.40 	1263.30 	1317.44 	1426.61 	1591.83 	1732.59 	1998.81 	2535.88 	3001.32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221,RS	739.11 	803.44 	873.83 	947.31 	1047.89 	1208.41 b	1173.76 d	1221.62 d	1278.62 d	1313.22 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221,SE	: 	49.18 	49.65 	49.98 	50.27 	50.46 	50.72 	51.11 	51.50 	51.97 	52.54 	53.26 	53.91 	54.57 	55.38 	56.30 	57.49 	58.88 	60.11 	61.34 	62.53 	63.74 	65.04 	66.51 	68.06 	69.70 	70.98 	71.58 	73.37 	75.34 	77.61 	79.63 	81.71 	83.75 	86.21 	90.00 	95.37 	98.88 	101.70 	105.12 	112.50 	119.10 
HAB_P,LIC,OC2221_3221,AT	: 	85.09 	88.79 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221_3221,BE	51.72 	52.79 	53.60 	54.28 	55.69 	57.22 	58.78 	60.17 	61.81 	63.52 	64.92 	66.53 	66.93 	67.96 	69.05 	70.13 	71.25 	72.42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221_3221,CY	: 	: 	180.76 	181.38 	182.84 	187.32 	187.29 	196.97 	202.05 	205.80 	201.44 	206.12 	208.63 	211.35 	206.05 	213.65 b	236.64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221_3221,CZ	: 	: 	: 	: 	: 	86.67 b	104.16 	100.66 	101.83 	104.21 	97.77 	101.83 	104.45 	106.27 	107.39 	108.28 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221_3221,DK	: 	: 	53.20 	53.81 	54.40 	54.86 	55.32 	55.83 	56.55 	57.24 	57.81 	58.54 	59.34 	60.24 	61.13 	61.99 	62.83 	63.66 	64.67 	65.73 	66.79 	67.95 	69.22 	70.60 	72.07 	73.40 	74.86 	76.63 	78.45 	80.41 	82.20 	84.30 	86.69 	89.24 	92.13 	95.11 	98.26 	101.77 	105.48 	109.19 	112.97 	117.08 
HAB_P,LIC,OC2221_3221,EE	89.54 p	92.10 	94.22 	95.86 	97.54 	99.90 	102.40 	105.05 	107.96 	111.56 	115.00 	118.16 	121.02 	124.07 	127.19 	131.22 	135.61 	: d	: d	: d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221_3221,ES	: 	150.16 	153.78 	156.76 	160.22 	164.54 	168.85 	175.05 	181.20 	182.27 	179.37 	182.41 	186.88 	189.26 	191.69 	192.88 	194.68 	196.18 	197.13 	200.33 	202.14 	204.84 	211.45 	216.01 	227.88 	233.66 	239.22 	244.35 	243.45 	247.10 	251.34 	255.41 	257.16 	264.92 	270.60 	272.95 	280.18 	280.25 	284.01 	287.77 	299.95 	309.53 
HAB_P,LIC,OC2221_3221,FI	: 	47.44 	48.18 	49.25 	50.15 	51.06 	51.77 	52.76 	53.36 	53.85 	54.36 	54.82 	55.38 	56.10 	56.86 	57.64 	58.14 	58.95 	59.62 	60.47 	61.80 	63.16 	65.03 	67.53 	70.56 	74.09 	78.09 	82.29 	87.02 	91.54 	96.09 	99.45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221_3221,HR	: 	95.57 	98.70 	101.90 	106.09 	106.95 	113.77 	120.28 	125.03 	129.40 	135.45 	134.09 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221_3221,HU	78.33 p	79.89 	81.32 	83.08 	84.77 	86.68 	88.94 	92.09 	95.72 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221_3221,IE	60.90 d	61.84 d	63.99 d	65.58 d	67.75 d	70.39 d	72.11 d	71.89 d	69.63 d	68.76 d	68.23 d	67.64 d	66.23 d	65.43 d	65.42 d	65.34 d	66.41 d	66.97 d	67.76 d	65.44 d	67.76 d	71.70 d	73.71 d	76.43 d	77.91 d	81.15 d	84.05 d	87.08 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221_3221,IS	: 	33.93 	34.23 	34.26 	34.16 	34.25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221_3221,IT	130.21 	130.86 	132.86 	133.73 	136.05 	139.93 	141.76 	145.05 	145.39 	147.49 	150.85 	158.11 	158.42 	161.46 	164.86 	165.65 	172.63 	173.96 	176.36 	178.68 	180.79 	182.48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2221_3221,LI	73.27 p	74.24 p	71.68 b	75.58 	72.86 b	77.93 	77.47 	82.77 be	85.41 be	95.21 be	144.67 be	145.25 b	558.46 	499.61 	457.95 	479.95 	482.67 	529.95 	473.31 	467.97 	502.94 	502.22 b	555.53 	536.74 	600.61 	517.22 	549.57 	525.34 	501.48 	538.67 	521.59 	463.58 	555.23 	558.95 	574.09 	619.03 	707.32 	699.89 	777.82 	846.94 	802.27 	981.23 
HAB_P,LIC,OC2221_3221,LT	108.63 p	106.21 	107.20 	107.43 	105.10 	103.38 b	101.57 	103.31 	104.62 	107.97 	111.90 b	: 	: 	: 	: 	108.47 	112.89 	119.69 	128.48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
